CODIGO DISTRITO;NOMBRE DISTRITO;SECCIÓN;SEXO;TOTAL
7;ERREKALDE                ;07;HOMBRES;309
7;ERREKALDE                ;07;MUJERES;361
7;ERREKALDE                ;08;HOMBRES;610
7;ERREKALDE                ;08;MUJERES;791
7;ERREKALDE                ;10;HOMBRES;712
7;ERREKALDE                ;10;MUJERES;882
7;ERREKALDE                ;12;HOMBRES;442
7;ERREKALDE                ;12;MUJERES;592
7;ERREKALDE                ;13;HOMBRES;1039
7;ERREKALDE                ;13;MUJERES;1210
7;ERREKALDE                ;14;HOMBRES;325
7;ERREKALDE                ;14;MUJERES;407
7;ERREKALDE                ;15;HOMBRES;445
7;ERREKALDE                ;15;MUJERES;446
7;ERREKALDE                ;16;HOMBRES;608
7;ERREKALDE                ;16;MUJERES;694
7;ERREKALDE                ;17;HOMBRES;864
7;ERREKALDE                ;17;MUJERES;1008
7;ERREKALDE                ;19;HOMBRES;697
7;ERREKALDE                ;19;MUJERES;774
7;ERREKALDE                ;21;HOMBRES;613
7;ERREKALDE                ;21;MUJERES;659
7;ERREKALDE                ;22;HOMBRES;757
7;ERREKALDE                ;22;MUJERES;860
7;ERREKALDE                ;23;HOMBRES;765
7;ERREKALDE                ;23;MUJERES;792
7;ERREKALDE                ;24;HOMBRES;530
7;ERREKALDE                ;24;MUJERES;606
7;ERREKALDE                ;26;HOMBRES;692
7;ERREKALDE                ;26;MUJERES;751
7;ERREKALDE                ;27;HOMBRES;782
7;ERREKALDE                ;27;MUJERES;826
7;ERREKALDE                ;28;HOMBRES;483
7;ERREKALDE                ;28;MUJERES;475
7;ERREKALDE                ;29;HOMBRES;576
7;ERREKALDE                ;29;MUJERES;605
7;ERREKALDE                ;30;HOMBRES;773
7;ERREKALDE                ;30;MUJERES;861
7;ERREKALDE                ;31;HOMBRES;291
7;ERREKALDE                ;31;MUJERES;335
7;ERREKALDE                ;32;HOMBRES;614
7;ERREKALDE                ;32;MUJERES;692
7;ERREKALDE                ;33;HOMBRES;464
7;ERREKALDE                ;33;MUJERES;491
7;ERREKALDE                ;34;HOMBRES;501
7;ERREKALDE                ;34;MUJERES;506
7;ERREKALDE                ;35;HOMBRES;899
7;ERREKALDE                ;35;MUJERES;923
7;ERREKALDE                ;36;HOMBRES;363
7;ERREKALDE                ;36;MUJERES;377
7;ERREKALDE                ;37;HOMBRES;415
7;ERREKALDE                ;37;MUJERES;377
7;ERREKALDE                ;38;HOMBRES;893
7;ERREKALDE                ;38;MUJERES;902
7;ERREKALDE                ;39;HOMBRES;442
7;ERREKALDE                ;39;MUJERES;379
7;ERREKALDE                ;40;HOMBRES;549
7;ERREKALDE                ;40;MUJERES;532
7;ERREKALDE                ;41;HOMBRES;895
7;ERREKALDE                ;41;MUJERES;788
7;ERREKALDE                ;42;HOMBRES;768
7;ERREKALDE                ;42;MUJERES;797
7;ERREKALDE                ;43;HOMBRES;730
7;ERREKALDE                ;43;MUJERES;775
8;BASURTU-ZORROTZA         ;01;HOMBRES;633
8;BASURTU-ZORROTZA         ;01;MUJERES;678
8;BASURTU-ZORROTZA         ;02;HOMBRES;787
8;BASURTU-ZORROTZA         ;02;MUJERES;868
8;BASURTU-ZORROTZA         ;03;HOMBRES;614
8;BASURTU-ZORROTZA         ;03;MUJERES;642
8;BASURTU-ZORROTZA         ;04;HOMBRES;637
8;BASURTU-ZORROTZA         ;04;MUJERES;724
8;BASURTU-ZORROTZA         ;05;HOMBRES;578
8;BASURTU-ZORROTZA         ;05;MUJERES;611
8;BASURTU-ZORROTZA         ;06;HOMBRES;471
8;BASURTU-ZORROTZA         ;06;MUJERES;485
8;BASURTU-ZORROTZA         ;07;HOMBRES;748
8;BASURTU-ZORROTZA         ;07;MUJERES;803
8;BASURTU-ZORROTZA         ;08;HOMBRES;922
8;BASURTU-ZORROTZA         ;08;MUJERES;963
8;BASURTU-ZORROTZA         ;09;HOMBRES;334
8;BASURTU-ZORROTZA         ;09;MUJERES;358
8;BASURTU-ZORROTZA         ;10;HOMBRES;578
8;BASURTU-ZORROTZA         ;10;MUJERES;621
8;BASURTU-ZORROTZA         ;12;HOMBRES;601
8;BASURTU-ZORROTZA         ;12;MUJERES;610
8;BASURTU-ZORROTZA         ;13;HOMBRES;775
8;BASURTU-ZORROTZA         ;13;MUJERES;764
8;BASURTU-ZORROTZA         ;14;HOMBRES;620
8;BASURTU-ZORROTZA         ;14;MUJERES;628
8;BASURTU-ZORROTZA         ;15;HOMBRES;881
8;BASURTU-ZORROTZA         ;15;MUJERES;981
8;BASURTU-ZORROTZA         ;16;HOMBRES;840
8;BASURTU-ZORROTZA         ;16;MUJERES;887
8;BASURTU-ZORROTZA         ;18;HOMBRES;708
8;BASURTU-ZORROTZA         ;18;MUJERES;885
8;BASURTU-ZORROTZA         ;19;HOMBRES;724
8;BASURTU-ZORROTZA         ;19;MUJERES;879
8;BASURTU-ZORROTZA         ;20;HOMBRES;630
8;BASURTU-ZORROTZA         ;20;MUJERES;828
8;BASURTU-ZORROTZA         ;21;HOMBRES;506
8;BASURTU-ZORROTZA         ;21;MUJERES;592
8;BASURTU-ZORROTZA         ;22;HOMBRES;766
8;BASURTU-ZORROTZA         ;22;MUJERES;999
8;BASURTU-ZORROTZA         ;23;HOMBRES;537
8;BASURTU-ZORROTZA         ;23;MUJERES;642
8;BASURTU-ZORROTZA         ;24;HOMBRES;863
8;BASURTU-ZORROTZA         ;24;MUJERES;1071
8;BASURTU-ZORROTZA         ;25;HOMBRES;654
8;BASURTU-ZORROTZA         ;25;MUJERES;681
