linia_id;expedicio_id;periode_id;trajecte_id;direccio_id;sortida_hora;sortida_parada_punt_id;arribada_parada_punt_id;dia_atribut_id;
"1794";"456386";"1";"1";"2";"50940";"158";"300";"1";
"1794";"456387";"1";"1";"2";"58320";"158";"300";"1";
"1794";"456388";"1";"1";"2";"65820";"158";"300";"1";
"1794";"456389";"1";"1";"2";"73500";"158";"300";"1";
"1794";"456390";"1";"1";"2";"81000";"158";"300";"1";
"1794";"456391";"1";"1";"2";"75600";"158";"300";"1";
"1794";"456392";"1";"1";"2";"21300";"158";"300";"1";
"1794";"456393";"1";"1";"2";"77400";"158";"300";"1";
"1794";"456394";"1";"1";"2";"17400";"158";"300";"1";
"1794";"456395";"1";"1";"2";"23100";"158";"300";"1";
"1794";"456396";"1";"2";"1";"26760";"300";"158";"1";
"1794";"456397";"1";"2";"1";"34440";"300";"158";"1";
"1794";"456398";"1";"2";"1";"41760";"300";"158";"1";
"1794";"456399";"1";"2";"1";"49440";"300";"158";"1";
"1794";"456400";"1";"2";"1";"56760";"300";"158";"1";
"1794";"456401";"1";"2";"1";"64140";"300";"158";"1";
"1794";"456402";"1";"2";"1";"71820";"300";"158";"1";
"1794";"456403";"1";"2";"1";"22200";"300";"158";"1";
"1794";"456404";"1";"2";"1";"28680";"300";"158";"1";
"1794";"456405";"1";"2";"1";"36300";"300";"158";"1";
"1794";"456406";"1";"2";"1";"43680";"300";"158";"1";
"1794";"456407";"1";"2";"1";"51240";"300";"158";"1";
"1794";"456408";"1";"2";"1";"58560";"300";"158";"1";
"1794";"456409";"1";"2";"1";"66120";"300";"158";"1";
"1794";"456410";"1";"2";"1";"73800";"300";"158";"1";
"1794";"456411";"1";"2";"1";"30540";"300";"158";"1";
"1794";"456412";"1";"2";"1";"38160";"300";"158";"1";
"1794";"456413";"1";"2";"1";"45600";"300";"158";"1";
"1794";"456414";"1";"2";"1";"52980";"300";"158";"1";
"1794";"456415";"1";"2";"1";"60360";"300";"158";"1";
"1794";"456416";"1";"2";"1";"67980";"300";"158";"1";
"1794";"456417";"1";"2";"1";"75600";"300";"158";"1";
"1794";"456418";"1";"2";"1";"32460";"300";"158";"1";
"1794";"456419";"1";"2";"1";"40020";"300";"158";"1";
"1794";"456420";"1";"2";"1";"47460";"300";"158";"1";
"1794";"456421";"1";"2";"1";"54900";"300";"158";"1";
"1794";"456422";"1";"2";"1";"62220";"300";"158";"1";
"1794";"456423";"1";"2";"1";"69840";"300";"158";"1";
"1794";"456424";"1";"2";"1";"77400";"300";"158";"1";
"1794";"456425";"1";"2";"1";"79200";"300";"158";"1";
"1794";"456426";"1";"2";"1";"24600";"300";"158";"1";
"1794";"456427";"1";"2";"1";"81000";"300";"158";"1";
"1794";"456428";"1";"2";"1";"20100";"300";"158";"1";
"1794";"456429";"1";"3";"1";"19200";"119";"145";"1";
"1814";"456430";"1";"1";"2";"26100";"158";"394";"1";
"1814";"456431";"1";"1";"2";"31560";"158";"394";"1";
