DATA_REFERENCIA,NACIONALITAT,SEXE,POBLACIO
2014,PORTUGAL                      ,Dona,9
2014,PORTUGAL                      ,Home,15
2014,"REGNE UNIT, EL                ",Dona,15
2014,"REGNE UNIT, EL                ",Home,7
2014,REPÚBLICA DEM. DEL CONGO      ,Dona,1
2014,"REPÚBLICA DOMINICANA, LA      ",Dona,57
2014,"REPÚBLICA DOMINICANA, LA      ",Home,71
2014,"REPÚBLICA TXECA, LA           ",Dona,2
2014,ROMANIA                       ,Dona,81
2014,ROMANIA                       ,Home,59
2014,RÚSSIA                        ,Dona,18
2014,RÚSSIA                        ,Home,6
2014,"SENEGAL, EL                   ",Dona,41
2014,"SENEGAL, EL                   ",Home,76
2014,SÈRBIA                        ,Home,1
2014,SIERRA LEONE                  ,Dona,1
2014,SINGAPUR                      ,Dona,1
2014,SÍRIA                         ,Dona,1
2014,SÍRIA                         ,Home,1
2014,SUÈCIA                        ,Dona,3
2014,SUÏSSA                        ,Dona,1
2014,TAILÀNDIA                     ,Dona,1
2014,TURQUIA                       ,Home,3
2014,UCRAÏNA                       ,Dona,31
2014,UCRAÏNA                       ,Home,15
2014,UGANDA                        ,Home,1
2014,"URUGUAI, L                    ",Dona,13
2014,"URUGUAI, L                    ",Home,16
2014,VENEÇUELA                     ,Dona,49
2014,VENEÇUELA                     ,Home,27
2014,"VIETNAM, EL                   ",Dona,2
2014,"VIETNAM, EL                   ",Home,4
2014,XILE                          ,Dona,14
2014,XILE                          ,Home,11
2014,"XINA, LA                      ",Dona,88
2014,"XINA, LA                      ",Home,83
2014,XIPRE                         ,Home,1
2015,ALBÀNIA                       ,Dona,1
2015,ALBÀNIA                       ,Home,2
2015,ALEMANYA                      ,Dona,8
2015,ALEMANYA                      ,Home,6
2015,ALGÈRIA                       ,Dona,9
2015,ALGÈRIA                       ,Home,9
2015,ANDORRA                       ,Dona,2
2015,ANDORRA                       ,Home,3
2015,APÀTRIDES                     ,Home,1
2015,"ARGENTINA, L                  ",Dona,29
2015,"ARGENTINA, L                  ",Home,21
2015,ARMÈNIA                       ,Dona,5
