CODI_CARRER,NOM_CARRER,DISTRICTE,NUMERO_INICIAL,NUMERO_FINAL
1655,"EIVISSA, D                    ",6,3,60
1665,"IGNASI IGLÉSIAS, D            ",5,1,43
1670,"IGUALADA, D                   ",3,0,39
1675,"IGUALTAT, DE LA               ",1,2,65
1680,"INDEPENDÈNCIA, DE LA          ",5,0,401
1685,"INDÚSTRIA, DE LA              ",1,5,15
1690,"IMMACULADA, DE LA             ",6,1,15
1695,"ISAAC PERAL, D                ",4,1,92
1725,"JACINT ELIAS, DE              ",2,2,190
1730,"JACQUARD, DE                  ",1,1,107
1735,"JAÉN, DE                      ",6,2,103
1740,"JAUME I, DE                   ",5,0,354
1745,"JALÓN, DEL                    ",6,1,6
1750,"JAUME CANTARER, DE            ",1,0,14
1754,"JOAN MIRÓ, DE                 ",1,1,25
1755,"JEREZ, DE                     ",6,1,146
1756,"JILOCA, DEL                   ",3,2,12
1757,"JOAN MIRÓ, DE                 ",1,0,0
1760,"JOAQUIN COSTA, DE             ",1,0,183
1765,"JOAQUIM DE PAZ, DE            ",1,1,93
1770,"JOAQUIM DE SAGRERA, DE        ",4,1,149
1775,"JOSEP FREIXA I ARGEMÍ, DE     ",4,0,12
1780,"JOSEP MARIA PALAU, DE         ",6,2,35
1785,"JOSEP O. MAURI POAL, DE       ",5,1,23
1790,"JOSEP O. MAURI POAL, DE       ",5,1,7
1791,"JOSEP PLA, DE                 ",5,2,16
1795,"JOSEP TAPIOLAS, DE            ",6,1,245
1796,"JOSEP TARRADELLAS, DE         ",5,0,133
1800,"JOAN ABELLÓ I BUFÍ, DE        ",1,1,19
1805,"JOAN D ÀUSTRIA, DE            ",5,1,83
1810,"JOAN DUCH, DE                 ",1,2,91
1815,"JOAN MONPEÓ, DE               ",3,1,200
1816,"JOAN SANTAMARIA, DE           ",3,0,1
1825,"JOAN XXIII,  DE               ",6,1,74
1830,"XÚQUER, DEL                   ",3,0,35
1836,"JÚPITER, DE                   ",3,0,66
1837,"KENYA, DE                     ",3,1,21
1838,"ALZINA,DE L                   ",5,1,6
1840,"AUTONOMIA, DE L               ",5,1,161
1841,"AVET, DE L                    ",5,1,12
1842,AUTOPISTA C-58                ,3,0,23
1843,AUTOPISTA C-16                ,4,1,24
1845,"ESGLÉSIA, DE L                ",1,0,40
1846,"ESPÍGOL, DE L                 ",5,2,18
1850,"ESTACIÓ DEL NORD, DE L        ",1,0,11
1851,"EUCALIPTUS, DE L              ",5,1,8
1855,"INFANT MARTÍ, DE L            ",4,0,187
1860,"ONZE DE SETEMBRE, DE L        ",1,1,10
1865,"LACETÀNIA, DE                 ",5,1,334
1875,"LAVOISIER, DE                 ",4,1,101
1880,"LLEÓ, DE                      ",4,1,11
1885,"LLEÓ XIII, DE                 ",1,3,72
1890,"LEPANT, DE                    ",3,0,291
1895,"LLEIDA, DE                    ",5,1,85
1900,"LETUR, DE                     ",5,1,25
1901,"LÍBIA, DE                     ",3,1,28
1902,"LIBRA, DE                     ",3,0,135
1905,"LINARES, DE                   ",5,2,58
1910,"LINEA, DE LA                  ",5,2,12
1915,"LINNÉ, DE                     ",4,1,82
1920,"LLIRI, DEL                    ",3,1,30
1921,"LLUÍS COMPANYS, DE            ",5,1,1
1922,"LLUÍS MUNCUNILL, DE           ",5,1,78
1925,"LOGRONYO, DE                  ",2,1,28
1935,"LUGO, DE                      ",2,4,18
1940,"LLUNA, DE LA                  ",5,1,13
1945,"LUXEMBURG, DE                 ",3,1,34
1946,"LLEVANT, DEL                  ",6,1,13
1950,"LLIBERTAT, DE LA              ",5,2,98
1960,"MADRID, DE                    ",2,1,268
1965,"MAESTRAT, DEL                 ",5,0,278
1970,"MESTRE SERRAT, DEL            ",5,3,15
1974,"MANYANS, DELS                 ",4,1,40
1975,"MESTRE TRIAS, DEL             ",3,0,189
1976,"MITJAIRES, DELS               ",4,1,40
1985,"MAGALLANES, DE                ",5,0,42
1990,"MAGNÒLIES, DE LES             ",5,0,22
1995,"MAÓ, DE                       ",6,1,58
2000,MAJOR                         ,1,1,50
2005,MAJOR DE SANT PERE            ,1,2,94
2010,"MÀLAGA, DE                    ",6,2,37
2015,"MALTA, DE                     ",3,2,11
2020,"MALLORCA, DE                  ",4,1,269
2025,"MANRESA, DE                   ",6,0,375
2030,"MANUEL DE FALLA, DE           ",5,1,451
2031,"MANXA, DE LA                  ",5,2,10
2035,"MAÑÉ I FLAQUER,  DE           ",1,0,24
2040,"MARAGALL, DE                  ",1,1,30
2045,"MARE DE DÉU DELS ÀNGELS, DE LA",1,2,195
2055,"MARCONI, DE                   ",4,0,333
2060,"MARESME, DEL                  ",3,1,68
2061,"MARGARIDA, DE LA              ",5,1,9
2065,"MARIA AUXILIADORA, DE         ",4,0,277
2070,"MARIÀ BENLLIURE, DE           ",5,1,104
2075,"MARIÀ SOLÀ, DE                ",3,1,29
2080,"MARINEL.LO BOSCH, DE          ",1,1,119
2085,"MARQUÈS DE COMILLAS, DEL      ",5,0,183
2086,"MARROC, DEL                   ",3,17,26
2090,"MART, DE                      ",4,1,40
2095,"MARTÍ DÍEZ, DE                ",4,1,126
2105,"MARTORELL, DE                 ",4,0,430
2110,"MAS ADEI, DEL                 ",1,1,116
2115,"MASIA, DE LA                  ",5,0,26
2120,"MASNOU, DEL                   ",6,1,39
2125,"MATADEPERA, DE                ",5,0,999
2126,"MATADEPERA, DE                ",6,35,106
2130,"MATAGALLS, DEL                ",6,0,6
2134,"MATIES ROCA, DE               ",4,5,57
2136,"MAURINA, DE LA                ",4,0,13
2140,"JOSEP LLIMONA, DE             ",5,1,99
2155,"MENÉNDEZ Y PELAYO, DE         ",1,0,249
2160,"MENORCA, DE                   ",6,1,57
2161,"MERCURI, DE                   ",3,0,21
2162,"MESTRAL, DEL                  ",6,1,72
2163,"MIGJORN, DEL                  ",6,1,48
2164,"MIGUEL HERNÁNDEZ, DE          ",2,1,1
2165,"MIQUEL ÀNGEL, DE              ",5,0,100
2166,"MENTA, DE LA                  ",5,1,8
2170,"MIQUEL PALOMARES, DE          ",6,2,56
2175,"MIQUEL SERVET, DE             ",1,0,70
2180,"MILLARS, DEL                  ",6,1,32
2181,"MIMOSA, DE LA                 ",5,6,12
2195,"MINA, DE LA                   ",1,1,60
2200,"MIÑO, DEL                     ",3,0,124
2205,"MIQUEL VIVES, DE              ",1,0,130
2210,"MIRA-SOL, DE                  ",4,1,24
2215,"FREDERIC MISTRAL, DE          ",6,1,125
2220,"MOISÈS, DE                    ",4,2,23
2221,"MOLA, DE LA                   ",6,2,79
2230,"MÒNACO, DE                    ",3,0,14
2235,"MONISTROL, DE                 ",5,1,135
2239,"CAMÍ DELS MONJOS, DEL         ",6,1,97
2240,"CAMÍ DELS MONJOS, DEL         ",2,1,120
2241,"MONTBLANC, DE                 ",3,1,10
2245,"MUNTANYA, DE LA               ",3,2,43
2250,"MONTCADA, DE                  ",3,0,894
2251,"MONTCAU, DEL                  ",6,5,78
