DATA_REFERENCIA,MES,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,SEXE,POBLACIO
2011,12,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Home,2
2011,12,ESPANYA                       ,SARAGOSSA,Dona,2
2011,12,ESPANYA                       ,SARAGOSSA,Home,1
2011,12,ESPANYA                       ,SEVILLA,Dona,1
2011,12,ESPANYA                       ,SEVILLA,Home,1
2011,12,ESPANYA                       ,TARRAGONA,Dona,14
2011,12,ESPANYA                       ,TARRAGONA,Home,13
2011,12,ESPANYA                       ,TEROL,Dona,1
2011,12,ESPANYA                       ,TEROL,Home,1
2011,12,ESPANYA                       ,TOLEDO,Home,1
2011,12,ESPANYA                       ,VALENCIA,Dona,1
2011,12,ESPANYA                       ,VALENCIA,Home,4
2011,12,ESPANYA                       ,ZAMORA,Home,1
2011,12,FRANÇA                        , ,Home,3
2011,12,GEÒRGIA                       , ,Dona,1
2011,12,ITÀLIA                        , ,Home,2
2011,12,"MARROC, EL                    ", ,Dona,10
2011,12,"MARROC, EL                    ", ,Home,14
2011,12,MÈXIC                         , ,Dona,1
2011,12,MÈXIC                         , ,Home,1
2011,12,"PAÏSOS BAIXOS, ELS            ", ,Home,1
2011,12,"PAKISTAN, EL                  ", ,Home,2
2011,12,"PARAGUAI, EL                  ", ,Dona,2
2011,12,"REGNE UNIT, EL                ", ,Dona,3
2011,12,"REGNE UNIT, EL                ", ,Home,2
2011,12,"REPÚBLICA DOMINICANA, LA      ", ,Dona,3
2011,12,"REPÚBLICA DOMINICANA, LA      ", ,Home,3
2011,12,ROMANIA                       , ,Dona,5
2011,12,ROMANIA                       , ,Home,2
2011,12,RÚSSIA                        , ,Dona,4
2011,12,"SENEGAL, EL                   ", ,Dona,1
2011,12,"SENEGAL, EL                   ", ,Home,3
2011,12,SUÈCIA                        , ,Dona,1
2011,12,TUNÍSIA                       , ,Dona,1
2011,12,VENEÇUELA                     , ,Dona,4
2011,12,VENEÇUELA                     , ,Home,3
2011,2,ALEMANYA                      , ,Dona,1
2011,2,ANDORRA                       , ,Home,1
2011,2,"ARGENTINA, L                  ", ,Dona,3
2011,2,"ARGENTINA, L                  ", ,Home,2
2011,2,AUSTRÀLIA                     , ,Dona,1
2011,2,BOLÍVIA                       , ,Dona,1
2011,2,BOLÍVIA                       , ,Home,1
2011,2,COLÒMBIA                      , ,Dona,1
2011,2,COLÒMBIA                      , ,Home,3
2011,2,CUBA                          , ,Dona,1
2011,2,CUBA                          , ,Home,1
2011,2,"EQUADOR, L                    ", ,Dona,6
