CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-04005;BLANCS;BLANCS;1
S-04005;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;74
S-04005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;128
S-04005;CUP    ;CANDIDATURA D UNITAT POPULAR            ;15
S-04005;JxSí;JUNTS PEL SÍ;26
S-04005;NULS;NULS;4
S-04005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;2
S-04005;PP      ;PARTIDO POPULAR                         ;69
S-04005;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;195
S-04005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04005;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;4
S-04006;BLANCS;BLANCS;2
S-04006;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;114
S-04006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;212
S-04006;CUP    ;CANDIDATURA D UNITAT POPULAR            ;25
S-04006;JxSí;JUNTS PEL SÍ;39
S-04006;NULS;NULS;2
S-04006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;2
S-04006;PP      ;PARTIDO POPULAR                         ;86
S-04006;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;245
S-04006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-04006;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;11
S-04007;BLANCS;BLANCS;5
S-04007;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;115
S-04007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;113
S-04007;CUP    ;CANDIDATURA D UNITAT POPULAR            ;40
S-04007;JxSí;JUNTS PEL SÍ;93
S-04007;NULS;NULS;1
S-04007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-04007;PP      ;PARTIDO POPULAR                         ;66
S-04007;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;151
S-04007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-04007;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;12
S-04008;BLANCS;BLANCS;9
S-04008;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;167
S-04008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;181
S-04008;CUP    ;CANDIDATURA D UNITAT POPULAR            ;59
S-04008;JxSí;JUNTS PEL SÍ;130
S-04008;NULS;NULS;3
S-04008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-04008;PP      ;PARTIDO POPULAR                         ;62
S-04008;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;203
S-04008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;8
S-04008;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;6
S-04009;BLANCS;BLANCS;2
S-04009;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;88
S-04009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;131
S-04009;CUP    ;CANDIDATURA D UNITAT POPULAR            ;25
S-04009;JxSí;JUNTS PEL SÍ;79
S-04009;NULS;NULS;3
S-04009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-04009;PP      ;PARTIDO POPULAR                         ;37
S-04009;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;135
S-04009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-04009;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;8
S-04010;BLANCS;BLANCS;0
S-04010;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;107
S-04010;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;154
S-04010;CUP    ;CANDIDATURA D UNITAT POPULAR            ;23
S-04010;JxSí;JUNTS PEL SÍ;49
S-04010;NULS;NULS;0
S-04010;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;8
S-04010;PP      ;PARTIDO POPULAR                         ;88
S-04010;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;169
