X,Y,OBJECTID,NOM_EXPLOT,BUSTIA,COOR_X,COOR_Y,TIPUS_EXPL,ESPECIE,ESTAT_SUBE
2.255517412349033,42.002985072645373,17,EL SERRAT DE SANT MIQUEL, ,438346.42,4650375.7,Producció i reproducció,Èquids,Activa
2.292978177871342,42.022315678497748,18,MAS CASADEVALL, ,441466.44,4652495.68,Producció i reproducció,Porcí,Activa
2.305366658827058,42.010502555366052,19,GRANJA DOMÈNECH, ,442481.43,4651175.67,Producció i reproducció,Porcí,Activa
2.259234320316476,42.00526076460897,20,EL PADRIS,405,438656.42,4650625.7,Producció i reproducció,Boví,Activa
2.275251750229431,42.00374173864806,21,EL BENET, ,439981.42,4650445.69,Producció i reproducció,Porcí,Activa
2.300286135116643,42.005743241364399,22,GRANJA ILLA, ,442056.42,4650650.67,Producció i reproducció,Conills,Activa
2.300286135116643,42.005743241364399,23,GRANJA ILLA, ,442056.42,4650650.67,Producció i reproducció,Porcí,Activa
2.300286135116643,42.005743241364399,24,GRANJA ILLA, ,442056.42,4650650.67,Producció i reproducció,Èquids,Activa
2.2721909771824,42.012730943431123,25,TEULERIA DE CORCO,113,439736.43,4651445.69,Producció i reproducció,Boví,Activa
2.303147336998467,42.020216202298784,26,MAS ROVELLO,205,442306.44,4652255.67,Producció i reproducció,Porcí,Activa
2.303147336998467,42.020216202298784,27,MAS ROVELLO,205,442306.44,4652255.67,Producció i reproducció,Èquids,Activa
2.250951535445624,42.00619773709667,28,MAS FALGAS, ,437971.42,4650735.7,Producció i reproducció,Gallines i pollastres,Inactiva
2.250951535445624,42.00619773709667,29,MAS FALGAS, ,437971.42,4650735.7,Producció i reproducció,Gallines i pollastres,Inactiva
2.250951535445624,42.00619773709667,30,MAS FALGAS, ,437971.42,4650735.7,Producció i reproducció,Gallines i pollastres,Inactiva
2.250951535445624,42.00619773709667,31,MAS FALGAS, ,437971.42,4650735.7,Producció i reproducció,Gallines i pollastres,Inactiva
2.250951535445624,42.00619773709667,32,MAS FALGAS, ,437971.42,4650735.7,Producció i reproducció,Gallines i pollastres,Inactiva
2.250951535445624,42.00619773709667,33,MAS FALGAS, ,437971.42,4650735.7,Producció i reproducció,Gallines i pollastres,Inactiva
2.250951535445624,42.00619773709667,34,MAS FALGAS, ,437971.42,4650735.7,Producció i reproducció,Porcí,Inactiva
2.287160200783042,42.002465230203299,35,MAS CASABELLA, ,440966.42,4650295.68,Explotació d'oci,Coloms,Activa
2.287160200783042,42.002465230203299,36,MAS CASABELLA, ,440966.42,4650295.68,Explotació d'oci,Coloms,Activa
2.309281559616226,42.011426838009321,37,MAS CAMPS, ,442806.43,4651275.67,Producció i reproducció,Porcí,Activa
2.304569530888656,42.010032358672355,38,CAMPAYO, ,442415,4651124,Producció i reproducció,Cabrum,Activa
2.304569530888656,42.010032358672355,39,CAMPAYO, ,442415,4651124,Producció i reproducció,Oví,Activa
2.304569530888656,42.010032358672355,40,CAMPAYO, ,442415,4651124,Producció i reproducció,Èquids,Activa
2.290406004708799,42.014644225004204,41,EL MAS,200,441246.43,4651645.68,Producció i reproducció,Boví,Activa
2.290406004708799,42.014644225004204,42,EL MAS,200,441246.43,4651645.68,Producció i reproducció,Porcí,Activa
2.285897344878653,42.029026758854222,43,CASANOVA D'EN POUS, ,440886.44,4653245.68,Producció i reproducció,Boví,Inactiva
2.3081325163802,42.006015967360149,44,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Conills,Activa
2.3081325163802,42.006015967360149,45,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Oví,Activa
2.3081325163802,42.006015967360149,46,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Cabrum,Inactiva
2.3081325163802,42.006015967360149,47,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Gallines i pollastres,Inactiva
2.3081325163802,42.006015967360149,48,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Gallines i pollastres,Inactiva
2.3081325163802,42.006015967360149,49,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Gallines i pollastres,Inactiva
2.3081325163802,42.006015967360149,50,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Gallines i pollastres,Inactiva
2.3081325163802,42.006015967360149,51,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Gallines i pollastres,Inactiva
2.3081325163802,42.006015967360149,52,GRANJA VILARDELL, ,442706.43,4650675.67,Producció i reproducció,Gallines i pollastres,Inactiva
2.277600539070661,42.009610822138342,53,EL SERRALLO, ,440181.43,4651095.69,Producció i reproducció,Boví,Activa
2.277600539070661,42.009610822138342,54,EL SERRALLO, ,440181.43,4651095.69,Producció i reproducció,Porcí,Activa
2.293681626632586,42.013313442231798,55,MARC ISERN-LA COROMINA, ,441516.43,4651495.68,Producció i reproducció,Porcí,Activa
2.268979550393953,41.997847683319655,56,EL DULCET,415,439456.41,4649795.69,Producció i reproducció,Boví,Activa
2.268979550393953,41.997847683319655,57,EL DULCET,415,439456.41,4649795.69,Producció i reproducció,Porcí,Activa
2.297336282196159,41.999465640804353,58,CAVALLERIA, ,441806.42,4649955.67,Producció i reproducció,Boví,Activa
2.297336282196159,41.999465640804353,59,CAVALLERIA, ,441806.42,4649955.67,Producció i reproducció,Gallines i pollastres,Activa
2.297336282196159,41.999465640804353,60,CAVALLERIA, ,441806.42,4649955.67,Producció i reproducció,Gallines i pollastres,Activa
