codi,Centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
HAB01,PIS SOCIAL,Electricitat dependències,Kwh,ES0031408193249029MT0F,ENDESA ENERGÍA S.A.U.,82030478742,,,,,1165,1368,1276,140
REG44,BOCA DE REG AV. DIPUTACIÓ. 48,Aigua,m3,,SOREA,4756638,07/06/2011,89,0,,,,,141
HAB01,PIS SOCIAL,Electricitat dependències,Kwh,ES0031408193249003AC0F,ENDESA ENERGÍA S.A.U.,82023424835,,,,,1093,5927,7554,142
TAN01,TANATORI MUNICIPAL,Aigua,m3,,SOREA,4756542,07/06/2011,29,14,,,,,143
HAB02,HABITATGE SOCIAL,Electricitat dependències,Kwh,ES0031446453778001KS0F,ENDESA ENERGÍA S.A.U.,82013615665,,2485,2443,2612,1023,1053,1707,144
TAN01,TANATORI MUNICIPAL,Aigua,m3,,SOREA,4755801,07/06/2011,173,0,,,,,145
HAB02,HABITATGE SOCIAL,Electricitat dependències,Kwh,ES0031446453779001LA0F,ENDESA ENERGÍA S.A.U.,82033488109,,,,,,273,1437,146
VAR11,PIS D'ACOLLIDA,Aigua,m3,,SOREA,111100000000,07/06/2011,99,43,,,,,147
HAB02,HABITATGE SOCIAL,Electricitat dependències,Kwh,ES0031446453777001RG0F,ENDESA ENERGÍA S.A.U.,82034369842,,,,,,141,1851,148
VAR13,EDIFICI MOLÍ MIARONS,Aigua,m3,,SOREA,4756347,07/06/2011,35,5,,,,,149
MAG03,DIPÒSIT DE VEHICLES,Electricitat dependències,Kwh,ES0031446457847001HQ0F,ENDESA ENERGÍA S.A.U.,82013616557,,1119,1057,324,277,453,419,150
ADM02,AJUNTAMENT,Aigua,m3,,SOREA,4751726,06/06/2011,329,144,,,,,151
MAG05,CAL ALBAREDA-TALLER DE FORMACIÓ,Electricitat dependències,Kwh,ES0031446462574001NX0F,ENDESA ENERGÍA S.A.U.,82013617132,,2496,4599,1563,13,4226,4598,152
ADM06,OFICINA PROMOCIÓ ECONÒMICA,Aigua,m3,,SOREA,4751724,06/06/2011,139,78,,,,,153
MAG06,MAGATZEM FOMENT,Electricitat dependències,Kwh,ES0031446462521001PW0F,ENDESA ENERGÍA S.A.U.,82013617662,,2642,4819,4832,4554,2772,4404,154
MAG07,MAGATZEM MIT I BANC D'ALIMENTS,Electricitat dependències,Kwh,ES0031448475205001TW0F,ENDESA ENERGÍA S.A.U.,82015332685,,,1037,2554,1353,5010,3544,155
ADM10,ARXIU I SOLITÀRIA,Aigua,m3,,SOREA,4756520,06/06/2011,1,1,,,,,156
ADM12,JUTJAT DE PAU,Aigua,m3,,SOREA,4756675,06/06/2011,21,10,,,,,157
VAR01,CASETA MEDI AMBIENT,Electricitat dependències,Kwh,ES0031446456670001LH0F,ENDESA ENERGÍA S.A.U.,82013618062,,6356,6425,6441,6425,6424,6424,158
VAR02,PIS D'ACOLLIDA,Electricitat dependències,Kwh,ES0031446461309001MX0F,ENDESA ENERGÍA S.A.U.,82013641592,,10618,8855,9356,6203,2425,1078,159
ENT01,CAN PUGET,Aigua,m3,,SOREA,4751733,06/06/2011,485,111,,,,,160
VAR03,DEIXALLERIA,Electricitat dependències,Kwh,ES0031448352391001DE0F,ENDESA ENERGÍA S.A.U.,82013625194,,9896,10435,7773,8771,8677,5209,161
ENT07,LLAR DE JUBILATS-ASVAT,Aigua,m3,,SOREA,4751725,06/06/2011,719,279,,,,,162
ESC01,ESCOLA PUIG-AGUT,Aigua,m3,,SOREA,4756257,06/06/2011,57,0,,,,,163
VAR05,"ERMITA ""EL FUGURULL""",Electricitat dependències,Kwh,ES0031446463020001ZV0F,ENDESA ENERGÍA S.A.U.,82013723939,,1280,133,351,287,67,53,164
ESC03,ESCOLA POMPEU FABRA,Aigua,m3,,SOREA,111100000000,06/06/2011,1159,500,,,,,165
VAR08,EDIFICI CAMPANAR,Electricitat dependències,Kwh,ES0031448051659001KZ0F,ENDESA ENERGÍA S.A.U.,82013724168,,45584,21891,25215,21577,20856,20198,166
ESC07,TRIPIJOC,Aigua,m3,,SOREA,4751705,06/06/2011,82,26,,,,,167
EP01,C. ANTONI FONT FORGAS S/N,Electricitat Quadres enllumenat,Kwh,ES0031446460653001AQ0F,ENDESA ENERGÍA S.A.U.,82014694891,,42880,44931,43613,43538,45234,40651,168
EP02,C/ PUIGPARDINES. 58,Electricitat Quadres enllumenat,Kwh,ES0031446459783002NS0F,ENDESA ENERGÍA S.A.U.,82013626772,,15060,13206,12878,12444,14424,11774,169
ESC10,ESCOLA QUATRE VENTS,Aigua,m3,,SOREA,4754934,06/06/2011,0,0,,,,,170
FON04,FONT C/ SANT. DOMENECH,Aigua,m3,,SOREA,4755787,06/06/2011,2,0,,,,,171
EP03,CASANOVAS TONA S/N COSTAT ET 1,Electricitat Quadres enllumenat,Kwh,ES0031446459824001RM0F,ENDESA ENERGÍA S.A.U.,82013641881,,19398,23559,21167,20594,22781,18943,172
EP04,GREMI TONIS ESQ.PUIGPARDINES,Electricitat Quadres enllumenat,Kwh,ES0031448051709001XN0F,ENDESA ENERGÍA S.A.U.,82013627436,,36069,34554,33193,31604,34182,26255,173
FON11,FONT C/ ST. JAUME,Aigua,m3,,SOREA,4755817,06/06/2011,1,0,,,,,174
EP05,"PZ FRA BERNADI 0, ENLL.PUB, MANLLEU",Electricitat Quadres enllumenat,Kwh,ES0031408506900001GH0F,ENDESA ENERGÍA S.A.U.,82013646704,,,,1275,52455,53555,52589,175
FON14,FONT DE LA PLAÇA LLEVANT,Aigua,m3,,SOREA,4755752,06/06/2011,30,10,,,,,176
EP06,PGE.DELS OMS SN COSTAT ET 1623,Electricitat Quadres enllumenat,Kwh,ES0031446458835001BM0F,ENDESA ENERGÍA S.A.U.,82013642203,,10213,20273,28859,28360,33287,30273,177
REG03,VIVERS,Aigua,m3,,SOREA,4755792,06/06/2011,0,0,,,,,178
EP07,VIVENDA GENERALITAT. 5,Electricitat Quadres enllumenat,Kwh,ES0031446458101001EG0F,ENDESA ENERGÍA S.A.U.,82013642427,,7691,18716,21093,12262,16020,15244,179
REG07,BOCA REG EL VERDAGUER (2),Aigua,m3,,SOREA,4755804,06/06/2011,0,0,,,,,180
EP08,PINTOR GUARDIA SN CANT.MOSSEN,Electricitat Quadres enllumenat,Kwh,ES0031446458602001TH0F,ENDESA ENERGÍA S.A.U.,82013704734,,34977,49014,46270,33722,39110,39801,181
REG07,BOCA REG EL VERDAGUER (2),Aigua,m3,,SOREA,4755850,06/06/2011,71,159,,,,,182
EP09,AVDA DIPUTACIO. 18,Electricitat Quadres enllumenat,Kwh,ES0031446462245001ZW0F,ENDESA ENERGÍA S.A.U.,82013705854,,60377,69513,69850,70737,71642,63601,183
REG08,BOCA REG CAL XIC,Aigua,m3,,SOREA,4755811,06/06/2011,0,0,,,,,184
EP10,VILACETRU-S/N 1,Electricitat Quadres enllumenat,Kwh,ES0031446462179001LN0F,ENDESA ENERGÍA S.A.U.,82013627991,,16686,17087,2911,1388,0,0,185
REG10,BOCA REG- VILAMIROSA/ DOÑA BLANCA,Aigua,m3,,SOREA,4755819,06/06/2011,5,0,,,,,186
