X,Y,OBJECTID,Data_incor,Mes,Expedient,Sexe,Edat,Municipi,Franja_eda,Barri
2.291805414789052,42.009255988666311,307,20/07/2015,juliol,S,Home,39,Manlleu,35 a 44 anys,La Coromina
2.291805414789052,42.009255988666311,308,15/07/2015,juliol,S,Home,23,Manlleu,16 a 24 anys,La Coromina
2.288249379291947,41.999993287439544,309,20/07/2015,juliol,S,Home,37,Manlleu,35 a 44 anys,Cavalleria
2.285257447021733,42.007417612907787,310,20/07/2015,juliol,S,Home,37,Manlleu,35 a 44 anys,Erm
2.285257447021733,42.007417612907787,311,22/07/2015,juliol,S,Dona,17,Manlleu,16 a 24 anys,Erm
2.288864333846581,42.003979788014355,312,20/07/2015,juliol,S,Dona,57,Manlleu,55 a 64 anys,El Puig
2.285257447021733,42.007417612907787,313,22/07/2015,juliol,S,Dona,16,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,314,21/07/2015,juliol,S,Dona,19,Manlleu,16 a 24 anys,Erm
2.288249379291947,41.999993287439544,315,20/07/2015,juliol,S,Home,18,Manlleu,16 a 24 anys,Cavalleria
2.282097921590838,42.002046867599432,316,22/07/2015,juliol,S,Dona,16,Manlleu,16 a 24 anys,Nou
2.285257447021733,42.007417612907787,317,22/07/2015,juliol,S,Dona,27,Manlleu,25 a 34 anys,Erm
2.288864333846581,42.003979788014355,318,23/07/2015,juliol,S,Home,59,Manlleu,55 a 64 anys,El Puig
2.283973794150638,42.001041486165164,319,22/07/2015,juliol,S,Dona,28,Manlleu,25 a 34 anys,Dalt Vila
2.285257447021733,42.007417612907787,320,03/08/2015,agost,S,Home,52,Manlleu,45 a 54 anys,Erm
2.288864333846581,42.003979788014355,321,24/07/2015,juliol,S,Dona,24,Manlleu,16 a 24 anys,El Puig
2.29373360322073,42.001613054857437,322,27/07/2015,juliol,S,Home,33,Manlleu,25 a 34 anys,La Salut
2.288864333846581,42.003979788014355,323,29/07/2015,juliol,S,Dona,56,Manlleu,55 a 64 anys,El Puig
2.288249379291947,41.999993287439544,324,03/08/2015,agost,S,Dona,62,Manlleu,55 a 64 anys,Cavalleria
2.29373360322073,42.001613054857437,325,03/08/2015,agost,S,Home,54,Manlleu,45 a 54 anys,La Salut
2.285257447021733,42.007417612907787,326,03/08/2015,agost,S,Dona,24,Manlleu,16 a 24 anys,Erm
