dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3902,2017-10-31T16:13:03Z,parking,43.464286,-3.800452,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3902.csv
3903,2017-10-31T16:12:55Z,parking,43.46429,-3.800393,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3903.csv
3714,2017-10-31T16:09:14Z,parking,43.462475,-3.800587,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3714.csv
3745,2017-10-31T16:08:42Z,parking,43.46408,-3.798507,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3745.csv
3744,2017-10-31T16:07:28Z,parking,43.464006,-3.798488,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3744.csv
3749,2017-10-31T16:07:26Z,parking,43.463749,-3.798441,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3749.csv
3640,2017-10-31T16:07:17Z,parking,43.463209,-3.800278,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3640.csv
3728,2017-10-31T16:07:00Z,parking,43.462594,-3.799315,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3728.csv
3774,2017-10-31T16:06:05Z,parking,43.462979,-3.798365,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3774.csv
3627,2017-10-31T16:04:53Z,parking,43.463065,-3.801763,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3627.csv
3764,2017-10-31T16:02:17Z,parking,43.463014,-3.798306,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3764.csv
3763,2017-10-31T16:02:08Z,parking,43.463036,-3.798312,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3763.csv
3899,2017-10-31T16:01:11Z,parking,43.463986,-3.798553,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3899.csv
3638,2017-10-31T15:58:33Z,parking,43.463206,-3.80037,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3638.csv
3784,2017-10-31T15:47:56Z,parking,43.464037,-3.799751,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3784.csv
3915,2017-10-31T15:37:13Z,parking,43.463983,-3.797747,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3915.csv
3907,2017-10-31T15:30:20Z,parking,43.464341,-3.799633,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3907.csv
3864,2017-10-31T15:28:17Z,parking,43.464508,-3.797995,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3864.csv
3628,2017-10-31T15:26:47Z,parking,43.463072,-3.801704,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3628.csv
3615,2017-10-31T15:26:42Z,parking,43.462925,-3.803205,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3615.csv
3856,2017-10-31T15:21:36Z,parking,43.464442,-3.798464,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3856.csv
3766,2017-10-31T15:21:04Z,parking,43.462931,-3.798293,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3766.csv
3879,2017-10-31T15:17:50Z,parking,43.464473,-3.798667,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3879.csv
3866,2017-10-31T15:15:09Z,parking,43.464551,-3.797721,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3866.csv
3877,2017-10-31T15:12:52Z,parking,43.464462,-3.798787,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3877.csv
