dc:identifier,dc:modified,ayto:medida,ayto:idSensor,ayto:intensidad,ayto:ocupacion,ayto:carga,uri
2048-1ac044dc-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2048,2048,240,85,88,http://datos.santander.es/api/datos/mediciones/2048-1ac044dc-be5c-11e7-97fa-005056a43242.csv
2049-1ac1d210-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2049,2049,120,5,15,http://datos.santander.es/api/datos/mediciones/2049-1ac1d210-be5c-11e7-97fa-005056a43242.csv
2050-1ac86482-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2050,2050,0,0,0,http://datos.santander.es/api/datos/mediciones/2050-1ac86482-be5c-11e7-97fa-005056a43242.csv
2051-1ad77775-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2051,2051,1260,11,62,http://datos.santander.es/api/datos/mediciones/2051-1ad77775-be5c-11e7-97fa-005056a43242.csv
2052-1ada4e87-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2052,2052,360,72,81,http://datos.santander.es/api/datos/mediciones/2052-1ada4e87-be5c-11e7-97fa-005056a43242.csv
2053-1adc09b9-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2053,2053,180,22,35,http://datos.santander.es/api/datos/mediciones/2053-1adc09b9-be5c-11e7-97fa-005056a43242.csv
2054-1add8163-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2054,2054,180,83,86,http://datos.santander.es/api/datos/mediciones/2054-1add8163-be5c-11e7-97fa-005056a43242.csv
2055-1ae20de4-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2055,2055,300,11,35,http://datos.santander.es/api/datos/mediciones/2055-1ae20de4-be5c-11e7-97fa-005056a43242.csv
2056-1ae3942b-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2056,2056,558,30,66,http://datos.santander.es/api/datos/mediciones/2056-1ae3942b-be5c-11e7-97fa-005056a43242.csv
2057-1ae54f6b-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2057,2057,900,12,45,http://datos.santander.es/api/datos/mediciones/2057-1ae54f6b-be5c-11e7-97fa-005056a43242.csv
2058-1ae6e5a7-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2058,2058,60,0,2,http://datos.santander.es/api/datos/mediciones/2058-1ae6e5a7-be5c-11e7-97fa-005056a43242.csv
2059-1ae8987e-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2059,2059,255,19,34,http://datos.santander.es/api/datos/mediciones/2059-1ae8987e-be5c-11e7-97fa-005056a43242.csv
2060-1aed5490-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2060,2060,180,8,20,http://datos.santander.es/api/datos/mediciones/2060-1aed5490-be5c-11e7-97fa-005056a43242.csv
2061-1aeefa9c-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2061,2061,120,3,11,http://datos.santander.es/api/datos/mediciones/2061-1aeefa9c-be5c-11e7-97fa-005056a43242.csv
2062-1af20bbc-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2062,2062,60,2,6,http://datos.santander.es/api/datos/mediciones/2062-1af20bbc-be5c-11e7-97fa-005056a43242.csv
2063-1af4e152-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2063,2063,90,4,10,http://datos.santander.es/api/datos/mediciones/2063-1af4e152-be5c-11e7-97fa-005056a43242.csv
2064-1af68df4-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2064,2064,499,13,29,http://datos.santander.es/api/datos/mediciones/2064-1af68df4-be5c-11e7-97fa-005056a43242.csv
2065-1af83717-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2065,2065,540,30,57,http://datos.santander.es/api/datos/mediciones/2065-1af83717-be5c-11e7-97fa-005056a43242.csv
2066-1afb3bd8-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2066,2066,360,13,35,http://datos.santander.es/api/datos/mediciones/2066-1afb3bd8-be5c-11e7-97fa-005056a43242.csv
2067-1afcd591-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2067,2067,180,5,17,http://datos.santander.es/api/datos/mediciones/2067-1afcd591-be5c-11e7-97fa-005056a43242.csv
2068-1afe7dc6-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2068,2068,180,5,17,http://datos.santander.es/api/datos/mediciones/2068-1afe7dc6-be5c-11e7-97fa-005056a43242.csv
2069-1b000b29-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2069,2069,480,13,43,http://datos.santander.es/api/datos/mediciones/2069-1b000b29-be5c-11e7-97fa-005056a43242.csv
2070-1b01a793-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2070,2070,720,10,25,http://datos.santander.es/api/datos/mediciones/2070-1b01a793-be5c-11e7-97fa-005056a43242.csv
2071-1b061f70-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2071,2071,368,29,38,http://datos.santander.es/api/datos/mediciones/2071-1b061f70-be5c-11e7-97fa-005056a43242.csv
