4576,FRANCISCO TOMAS Y VALIENTE,FRANCISCO TOMAS Y VALIENTE KALEA,CALLE
1610,"FRAY FRANCISCO DE VITORIA, PASEO DE",FRAI FRANCISCO VITORIA IBILBIDEA,PASEO
1620,FRAY ZACARIAS MARTINEZ,FRAI ZACARIAS MARTINEZ KALEA,CALLE
1635,FUENTE DE LA SALUD,OSASUN ITURRI KALEA,CALLE
1640,"FUENTE DE LOS PATOS, PLAZUELA DE LA",AHATE ITURRI PLAZATXOA,PLAZUELA
4777,FUENTECILLAS,FUENTECILLAS KALEA,CALLE
1650,FUEROS,FORU KALEA,CALLE
1651,"FUEROS, PLAZA DE LOS",FORU PLAZA,PLAZA
3890,FUNDADORA DE LAS SIERVAS DE JESUS,JESUSEN ZERBITZARIEN FUNDATZAILEAN KALEA,CALLE
4560,GABRIEL ARESTI,GABRIEL ARESTI KALEA,CALLE
4556,GABRIEL CELAYA,GABRIEL ZELAIA KALEA,CALLE
4859,GABRIEL MARTINEZ DE ARAGON URBIZTONDO,GABRIEL MARTINEZ DE ARAGON URBIZTONDO KALEA,CALLE
4822,GABRIELA MISTRAL,GABRIELA MISTRAL KALEA,CALLE
4901,GALARRETA,GALARRETA KALEA,CALLE
1660,GALICIA,GALIZIA KALEA,CALLE
4799,GALILEO,GALILEO KALEA,CALLE
6330,GAMARRA MAYOR/GAMARRA NAGUSIA,GAMARRA,ENTIDAD
6340,GAMARRA MENOR,GAMARRAGUTXIA,ENTIDAD
1670,"GAMARRA, PLAZA DE",GAMARRA PLAZA,PLAZA
4920,GAMARRARTEA,GAMARRARTEA KALEA,CALLE
6350,GAMIZ,GAMIZ,ENTIDAD
1690,GARALBIDE,GARALBIDE KALEA,CALLE
6360,GARDELEGI,GARDELEGI,ENTIDAD
1700,GASTEIZ,GASTEIZ KALEA,CALLE
1770,"GASTEIZ, AVENIDA DE",GASTEIZ HIRIBIDEA,AVENIDA
1691,"GAZALBIDE, PARQUE",GAZALBIDEKO PARKEA,PARQUE
1730,GENERAL ALAVA,ALABA JENERALAREN KALEA,CALLE
1731,"GENERAL ALAVA, PASAJE DEL",ALABA JENERALEKO PASABIDEA,PASAJE
1750,"GENERAL LOMA, PLAZA DEL",LOMA JENERALAREN PLAZA,PLAZA
1763,"GERARDO ARMESTO, PLAZA",GERARDO ARMESTO PLAZA,PLAZA
4593,GERARDO DIEGO,GERARDO DIEGO KALEA,CALLE
6410,GEREÑA,GEREÑA,ENTIDAD
1764,GEREZPEA,GEREZPEA KALEA,CALLE
1765,GERNIKAKO ARBOLA,GERNIKAKO ARBOLAREN KALEA,CALLE
4640,GERTRUDIS GOMEZ DE AVELLANEDA,GERTRUDIS GOMEZ DE AVELLANEDA KALEA,CALLE
