"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Gas";"PATRONAT CALL GIRONA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"BIBLIOTECA ANTÒNIA ADROHER";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CINEMA TRUFFAUT - RÀDIO";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"GUINGUETA FONTAJAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PLAÇA JURATS";"cultural";"15";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"MAS ABELLA";"cultural";"100";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LA MARFÀ";"oficina";"";"";"28.047";"25.140";"25.116";"4.577";"489";"0";"10";"2";"0";"2.657";"14.906";"2.375";"1.842";"1.652";"1.661";"387";"139";"105";"109";"109";"105";"274";"1.030";"161"
"Gas";"FUNDACIÓ RAFEL MASÓ";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CULTURAL LA MERCÈ";"cultural";"3.039";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"MUSEU D'HISTÒRIA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CAPELLA DE SANT NICOLAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"TEATRE MUNICIPAL";"cultural";"800";"";"33.452";"36.258";"28.675";"7.889";"490";"0";"0";"2.877";"1.599";"0";"11.486";"26.073";"2.158";"2.331";"1.877";"593";"151";"125";"117";"298";"207";"115";"824";"1.692"
"Gas";"CEE FONT DE L'ABELLA";"educacio";"2.317";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CEE PALAU";"educacio";"1.451";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA ANNEXA-JOAN PUIGBERT";"educacio";"4.330";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA BALANDRAU";"educacio";"300";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA CARME AUGUET";"educacio";"2.216";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA CASSIA COSTAL";"educacio";"2.950";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA DALMAU CARLES";"educacio";"2.802";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA DOMENY";"educacio";"2.926";"";"30.509";"26.484";"28.316";"15.037";"9.156";"4.010";"3.608";"3.164";"3.580";"5.984";"17.472";"2.696";"1.972";"1.715";"1.836";"1.021";"666";"349";"329";"301";"323";"475";"1.177";"179"
"Gas";"ESCOLA EIXIMENIS";"educacio";"1.357";"";"14.381";"12.023";"7.177";"1.079";"3.916";"787";"0";"0";"0";"0";"0";"0";"975";"821";"535";"160";"336";"142";"103";"103";"100";"104";"100";"13"
"Gas";"ESCOLA FONT DE LA POLVORA";"educacio";"1.859";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA JOAN BRUGUERA";"educacio";"2.102";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA MARE DE DEU DEL MONT";"educacio";"2.013";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA MONTFALGARS";"educacio";"2.654";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA MIGDIA";"educacio";"2.775";"";"1.428";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"104";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA MONTJUÏC";"educacio";"1.518";"";"20.308";"17.036";"12.697";"3.820";"0";"0";"1.002";"652";"0";"827";"7.912";"16.896";"1.340";"1.142";"885";"312";"73";"76";"135";"116";"66";"121";"585";"1.152"
"Gas";"ESCOLA MARTA MATA";"educacio";"3.294";"";"42.455";"34.975";"25.262";"8.874";"9.544";"4.992";"2.062";"3.900";"12.400";"10.287";"17.884";"38.801";"2.699";"2.247";"1.667";"649";"698";"429";"238";"364";"863";"745";"1.220";"2.457"
"Gas";"ESCOLA EL BOSC DE LA PABORDIA";"educacio";"1.150";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA PERICOT";"educacio";"1.050";"";"30.147";"26.732";"18.671";"6.966";"2.555";"2.061";"1.479";"722";"3.629";"7.547";"16.853";"27.531";"2.036";"1.821";"1.286";"516";"254";"228";"187";"145";"312";"553";"1.129";"1.759"
"Gas";"ESCOLA PERICOT BARRACONS";"educacio";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA PLA DE GIRONA";"educacio";"2.777";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA STA. EUGÈNIA";"educacio";"1.299";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA TAIALÀ";"educacio";"5.217";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA VERD";"educacio";"2.309";"";"1.477";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA VILA-ROJA";"educacio";"1.369";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESCOLA BRESSOL LA BALDUFA";"educacio";"744";"";"7.973";"18.604";"10.821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"520";"1.198";"703";"12";"12";"12";"10";"7";"7";"8";"8";"8"
"Gas";"ESCOLA BRESSOL LA DEVESA";"educacio";"730";"";"301";"342";"353";"252";"276";"292";"235";"57";"114";"255";"173";"0";"31";"32";"34";"28";"29";"31";"28";"16";"19";"29";"19";"0"
"Gas";"ESCOLA BRESSOL GARBÍ";"educacio";"630";"";"12.284";"9.657";"7.343";"2.692";"1.684";"606";"1.088";"818";"763";"1.123";"5.415";"10.963";"857";"688";"546";"235";"175";"108";"132";"123";"110";"138";"421";"766"
"Gas";"ESCOLA BRESSOL L'OLIVERA";"educacio";"907";"18.000";"516";"546";"584";"481";"502";"479";"432";"193";"292";"731";"590";"0";"102";"97";"107";"98";"102";"98";"98";"82";"87";"117";"94";"0"
"Gas";"ESCOLA BRESSOL EL TREN";"educacio";"710";"";"11.839";"10.748";"10.232";"4.369";"4.303";"3.577";"3.683";"3.627";"3.540";"3.812";"4.935";"11.536";"836";"761";"735";"350";"347";"295";"304";"302";"295";"317";"385";"808"
"Gas";"CAMP DE FUTBOL DE CAN GIBERT";"esportiu";"";"";"4.546";"5.179";"5.820";"4.224";"4.364";"419";"295";"2.424";"2.345";"3.921";"3.794";"126";"303";"342";"384";"281";"291";"39";"31";"167";"162";"263";"254";"8"
"Gas";"CAMP DE FUTBOL DE FONTAJAU";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CAMP DE FUTBOL GERMANS SÀBAT";"esportiu";"";"";"6.483";"5.754";"5.615";"4.536";"3.651";"2.522";"2.676";"2.823";"3.149";"3.900";"4.128";"4.897";"427";"378";"371";"302";"245";"173";"189";"210";"234";"290";"304";"359"
"Gas";"CAMP DE FUTBOL DE MONTILIVI";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CAMP DE FUTBOL DE PONT MAJOR";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CAMP DE FUTBOL TORRES DE PALAU";"esportiu";"";"";"5.736";"7.729";"10.724";"8.086";"4.604";"2.437";"2.125";"1.484";"2.539";"3.183";"4.719";"3.760";"443";"573";"775";"590";"373";"237";"207";"175";"234";"281";"384";"305"
"Gas";"CAMP DE FUTBOL DE VILAROJA";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PAVELLÓ  DE FONTAJAU";"esportiu";"17.439";"";"144.487";"118.865";"125.289";"86.879";"25.919";"8.111";"6.325";"6.220";"7.776";"28.757";"72.886";"135.512";"8.937";"7.382";"7.782";"5.393";"1.713";"645";"519";"530";"607";"1.895";"4.597";"8.330"
"Gas";"PAVELLÓ MONTFALGARS";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PAVELLÓ DE PALAU";"esportiu";"180";"";"9.572";"12.360";"16.120";"6.380";"5.016";"4.061";"5.047";"4.106";"3.953";"5.506";"6.039";"17.938";"683";"919";"1.230";"580";"511";"459";"502";"456";"429";"538";"588";"1.292"
"Gas";"PAVELLÓ DE PONT MAJOR";"esportiu";"";"";"5.353";"8.541";"9.426";"4.737";"4.536";"425";"295";"4.947";"4.937";"4.307";"4.532";"15.198";"355";"607";"723";"415";"412";"154";"138";"475";"462";"420";"440";"1.088"
"Gas";"PAVELLÓ DE SANTA EUGÈNIA";"esportiu";"2.472";"40.064";"26.843";"23.966";"27.235";"12.022";"10.576";"8.093";"1.003";"10.387";"10.551";"10.836";"17.322";"26.529";"1.731";"1.557";"1.767";"822";"742";"596";"155";"735";"733";"759";"1.164";"1.697"
"Gas";"PAVELLÓ DE VILA-ROJA";"esportiu";"2.424";"";"17.853";"18.641";"13.814";"6.680";"4.776";"3.267";"3.131";"2.461";"2.391";"3.846";"10.528";"16.077";"1.224";"1.277";"969";"494";"376";"283";"269";"229";"218";"315";"753";"1.101"
"Gas";"PISTES ESPORTIVES";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PISTA DE BOTXES";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PISTA ESPORTIVA FONTAJAU";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PISTA ESPORTIVA FONT DE LA PÓLVORA";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PISTA ESPORTIVA TORRE GIRONELLA";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PISCINA CAN GIBERT DEL PLA";"piscina";"1.372";"";"194.786";"179.712";"201.294";"116.775";"103.450";"93.027";"58.565";"63.677";"74.828";"116.480";"122.581";"180.676";"11.985";"11.071";"12.390";"7.187";"6.382";"5.759";"3.659";"3.985";"4.649";"7.214";"7.605";"11.046"
"Gas";"PISCINA DE PALAU";"piscina";"3.935";"";"189.705";"160.113";"151.481";"66.426";"55.474";"37.516";"25.081";"27.868";"40.451";"65.069";"80.615";"158.493";"11.646";"9.848";"9.326";"4.113";"3.452";"2.371";"1.607";"1.788";"2.540";"4.057";"5.016";"9.675"
"Gas";"ZONA ESPORTIVA DEVESA";"esportiu";"284";"";"7.253";"4.745";"4.766";"2.849";"2.316";"2.307";"4.470";"3.716";"2.442";"1.598";"3.250";"3.711";"1.091";"707";"691";"407";"329";"327";"634";"462";"284";"181";"360";"379"
"Gas";"PARQUING PLAÇA PALLOL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CONSULTORI PONT MAJOR";"sanitari";"159";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ASSOCIACIÓ VEÏNS DE LA DEVESA";"cultural";"274";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ASSOCIACIO DE VEÏNS DE L'EIXAMPLE";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ASSOCIACIÓ DE VEÏNS DE FONTAJAU";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ASSOCIACIÓ DE VEÏNS DE PALAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ANTIGA BIBLIOTECA SALVADOR ALLENDE";"cultural";"290";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"BANC D'ALIMENTS";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CÍVIC PLA DE PALAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CÍVIC PONT MAJOR / BIBLIOTECA JUST M. CASERO";"cultural";"1.362";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CÍVIC PLA DE PALAU / BIBLIOTECA ERNEST LLUCH";"cultural";"1.231";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CÍVIC DEL TER / BIBLIOTECA ANTÒNIA ADROHER";"cultural";"1.407";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CÍVIC BARRI VELL – MERCADAL";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CÍVIC ONYAR";"cultural";"1.568";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE CÍVIC PEDRET";"cultural";"250";"";"14.198";"10.346";"9.670";"3.582";"2.863";"510";"791";"1.569";"1.570";"1.747";"3.755";"8.856";"1.034";"764";"725";"314";"268";"107";"114";"128";"129";"145";"285";"642"
"Gas";"CENTRE CÍVIC SANTA EUGÈNIA";"cultural";"720";"";"13.743";"8.534";"8.311";"3.634";"2.285";"478";"13";"0";"0";"0";"3.039";"10.633";"954";"618";"612";"297";"217";"103";"66";"73";"64";"69";"272";"747"
"Gas";"CENTRE CÍVIC SANT NARCÍS";"cultural";"1.459";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE DE DISTRIBUCIÓ D'ALIMENTS SANTA EUGÈNIA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE DE DIA FONT PÓLVORA";"oficina";"140";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE DE DIA DE SANTA EUGÈNIA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE JOVE SALUT INTEGRAL";"oficina";"200";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENT LLARS";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE OBERT SANTA EUGÈNIA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE OBERT TAIALÀ";"cultural";"360";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ANTIGUES ESCOLES CAMPDORÀ";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE FÒRUM";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LLAR D'AVIS SANT JOAN";"cultural";"381";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LLAR D'AVIS TAIALÀ";"cultural";"419";"";"15.436";"12.051";"11.958";"3.287";"477";"0";"0";"0";"0";"0";"4.563";"13.684";"1.064";"847";"848";"276";"100";"73";"65";"73";"64";"69";"370";"944"
"Gas";"LOCAL SOCIAL GRUP GIRONA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL C/HORTÈNSIA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL PLAÇA LLIMONER";"cultural";"295";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL NOGUER";"oficina";"100";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL DE VISTA ALEGRE";"cultural";"179";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"MAGATZEM JOSEP MA PRAT";"altres";"15";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"SERVEI D'ATENCIÓ GENT GRAN";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"EDIFICI HABITATGES TORIN";"residencial";"";"";"14.437";"12.079";"12.543";"6.413";"5.992";"4.652";"455";"7.837";"4.883";"6.555";"8.335";"1.155";"990";"834";"869";"477";"451";"364";"100";"584";"389";"502";"617";"85"
"Gas";"TANC PLUJA COSTABONA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"TANC PLUJA TAIALÀ 1";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"TANC PLUJA TAIALÀ 2";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"TANC PLUJA TAIALÀ 3";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"TANC PLUJA TAIALÀ 4";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"TANC PLUJA TAIALÀ 5";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"AJUNTAMENT";"oficina";"4.096";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ASSOCIACIÓ DE NATURALISTES GI";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"BEATES";"oficina";"";"";"0";"0";"447";"1.118";"1.156";"1.118";"1.156";"1.156";"1.118";"1.156";"1.118";"6.039";"0";"0";"31";"78";"81";"78";"81";"81";"78";"81";"78";"355"
"Gasoil_biomassa";"ESTACIÓ AUTOBUSOS";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CASETA DE LA DEVESA";"cultural";"68";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CENTRAL DE L'AURORA";"oficina";"207";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"COOPERACIÓ";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ANTIGA CASA PASTORA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PISTA CREC SANT DANIEL";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CENTRE DE SALUT MENTAL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"FUNDACIO ESCOLA ART FLORAL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESPAI JOVE ELS QUÍMICS";"cultural";"401";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"GESTORIA GOMEZ";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"residencial";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"HABITATGE MUNICIPAL ST GREGORI 89- 6E 1A";"residencial";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
