"Nom_Sector";"Codi_Carrer";"Tipus_Via";"Nexe";"Nom_carrer";"Nom_complert";"Num_Inf";"Lletra_Inf";"Accessori_inf";"Num_Sup";"Lletra_sup";"Accessori_sup"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"40";"";"N";"40";"";"N"
"Sant Narcís";"0633";"CARRER";"del";"Riu Ter";"Carrer del Riu Ter";"1";"";"N";"13";"";"N"
"Sant Narcís";"0633";"CARRER";"del";"Riu Ter";"Carrer del Riu Ter";"2";"";"S";"14";"";"S"
"Sant Narcís";"0633";"CARRER";"del";"Riu Ter";"Carrer del Riu Ter";"16";"";"S";"30";"";"S"
"Sant Narcís";"0633";"CARRER";"del";"Riu Ter";"Carrer del Riu Ter";"15";"";"N";"33";"";"N"
"Sant Ponç";"0195";"CARRER";"de l'";"Esport";"Carrer de l'Esport";"13";"";"N";"17";"";"N"
"Sant Ponç";"0195";"CARRER";"de l'";"Esport";"Carrer de l'Esport";"6";"";"N";"16";"";"N"
"Sant Ponç";"0195";"CARRER";"de l'";"Esport";"Carrer de l'Esport";"1";"";"N";"5";"";"N"
"Sant Ponç";"0195";"CARRER";"de l'";"Esport";"Carrer de l'Esport";"2";"";"N";"4";"";"N"
"Sant Ponç";"0195";"CARRER";"de l'";"Esport";"Carrer de l'Esport";"7";"";"N";"11";"";"N"
"Sant Ponç";"0218";"CARRER";"de la";"Font de la Lluna";"Carrer de la Font de la Lluna";"1";"";"N";"1";"";"N"
"Sant Ponç";"0227";"AVINGUDA";"de";"França";"Avinguda de França";"58";"";"N";"62";"";"N"
"Sant Ponç";"0227";"AVINGUDA";"de";"França";"Avinguda de França";"42";"";"N";"56";"";"N"
"Sant Ponç";"0227";"AVINGUDA";"de";"França";"Avinguda de França";"30";"";"N";"40";"";"N"
"Sant Ponç";"0227";"AVINGUDA";"de";"França";"Avinguda de França";"64";"";"N";"66";"";"N"
"Sant Ponç";"0458";"CARRER";"de";"Pep Colomer i Martí";"Carrer de Pep Colomer i Martí";"1";"";"N";"9";"";"N"
"Sant Ponç";"0533";"PARATGE";"de la";"Riera Rissec";"Paratge de la Riera Rissec";"7";"";"N";"11";"";"N"
"Sant Ponç";"0533";"PARATGE";"de la";"Riera Rissec";"Paratge de la Riera Rissec";"1";"";"N";"6";"";"N"
"Sant Ponç";"0589";"PLAÇA";"de";"Sant Ponç";"Plaça de Sant Ponç";"1";"";"N";"13";"";"N"
"Sant Ponç";"0589";"PLAÇA";"de";"Sant Ponç";"Plaça de Sant Ponç";"14";"";"N";"15";"";"N"
"Sant Ponç";"0665";"CARRER";"de";"Josep Trueta i Raspall";"Carrer de Josep Trueta i Raspall";"2";"";"N";"4";"";"N"
"Sant Ponç";"0665";"CARRER";"de";"Josep Trueta i Raspall";"Carrer de Josep Trueta i Raspall";"1";"";"N";"1";"";"N"
"Sant Ponç";"0723";"CARRER";"de";"Manuel de Pedrolo";"Carrer de Manuel de Pedrolo";"2";"";"N";"2";"";"N"
"Santa Eugènia";"0004";"CARRER";"de";"Baix";"Carrer de Baix";"1";"";"S";"3";"";"S"
"Santa Eugènia";"0004";"CARRER";"de";"Baix";"Carrer de Baix";"5";"";"N";"5";"";"N"
"Santa Eugènia";"0004";"CARRER";"de";"Baix";"Carrer de Baix";"7";"";"S";"21";"";"N"
"Santa Eugènia";"0004";"CARRER";"de";"Baix";"Carrer de Baix";"2";"";"N";"40";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"29";"";"N";"35";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"21";"";"N";"27";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"1";"";"S";"5";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"2";"";"N";"10";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"12";"";"N";"22";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"24";"";"N";"28";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"30";"";"N";"38";"";"N"
"Santa Eugènia";"0009";"CARRER";"de les";"Agudes";"Carrer de les Agudes";"7";"";"N";"19";"";"N"
"Santa Eugènia";"0041";"CARRER";"de l'";"Atlàntida";"Carrer de l'Atlàntida";"1";"";"N";"17";"";"N"
"Santa Eugènia";"0041";"CARRER";"de l'";"Atlàntida";"Carrer de l'Atlàntida";"2";"";"S";"14";"";"N"
"Santa Eugènia";"0060";"CARRER";"del";"Bassegoda";"Carrer del Bassegoda";"1";"";"N";"11";"";"N"
