"Id_obra";"Numero_expedient";"Descripcio";"Tipus_obra";"Tipus_llicencia";"Tipus_local";"Nom_interessat";"Nom_carrer";"Numero";"Lletra";" Accessori";"Codi_edifici";"Data_resolucio";"Data_inici_obra";"Data_final_obra";"Data_caducitat";"Data_renuncia";"utm_x_etrs89";"umt_y_etrs89";"lon";"lat"
"20160114";"2016000007";"OBRES INTERIOR HABITATGES: Substitució d'elements de fusteria o serralleria.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CREU, C.";"37";"";"N";"2620";"29/01/2016";"";"";"";"";"485082";"4647086";"2,81993798";"41,97562878"
"20160116";"2016000007";"ACTUACIONS A JARDINS I SOLARS: Substitució o reparació de paviments.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"FRANCESC MACIA, C.";"13";"";"";"";"01/02/2016";"";"";"";"";"";"";"";""
"20160120";"2016000007";"OBRES INTERIOR HABITATGES: Substitució d'elements de fusteria o serralleria.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"FIGUEROLA, C.";"36";"";"S";"3994";"01/02/2016";"";"";"";"";"485007";"4648161";"2,81900530";"41,98530951"
"20160121";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació de façanes PB i P1.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"ASSUMPCIO, PL.";"14";"";"N";"4397";"01/02/2016";"";"";"";"";"484317";"4647076";"2,81070465";"41,97552386"
"20160122";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"BELLAVISTA, C.";"32";"";"N";"208";"01/02/2016";"";"";"";"";"485803";"4647782";"2,82862369";"41,98191074"
"20160123";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació de façanes PB i P1.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"PEDRET, C.";"87";"";"N";"6738";"02/02/2016";"";"";"";"";"485438";"4649729";"2,82416943";"41,99944000"
"20160124";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació canals, baixants o similars.";"Comunicat";"";"Habitatge";"COM. PROP. EDIFICI CENTER";"RIU GUELL, C.";"55";"";"N";"8617";"03/02/2016";"";"";"";"";"484568";"4647761";"2,81371625";"41,98169838"
"20160125";"2016000007";"ACTUACIONS A JARDINS I SOLARS: Reparació d'instal·lacions.";"Comunicat";"";"Habitatge";"EXPLOTACIO DE LA TERRA SEGLE XXII, S.L.";"SANT DANIEL, DIS.";"";"";"";"";"03/02/2016";"";"";"";"";"";"";"";""
"20160126";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Eliminació elements sobreposats.";"Comunicat";"";"Habitatge";"COMUNITAT DE PROPIETARIS SANT SEBASTIÀ, 8-14";"SANT SEBASTIA, C.";"8";"";"N";"5131";"02/02/2016";"";"";"";"";"483974";"4647185";"2,80656166";"41,97649869"
"20160127";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CARME, C.";"35";"";"N";"349";"03/02/2016";"";"";"";"";"485475";"4647540";"2,82467029";"41,97972515"
"20160128";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Local";"MUSEU DEL VI S.C.";"CORT REIAL, C.";"4";"";"N";"5800";"08/02/2016";"";"";"";"";"485535";"4648111";"2,82538049";"41,98486905"
"20160129";"";"REPARACIÓ D'ESCOMESA";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"MERCADERS, C.";"17";"";"N";"5756";"02/02/2016";"";"";"";"";"485483";"4648035";"2,82475464";"41,98418359"
"20160131";"";"SUBSTITUCIÓ PLAT DE DUTXA";"Comunicat";"";"";"PERSONA FÍSICA";"CREU, TRV.";"33";"";"N";"10810";"01/02/2016";"";"";"";"";"485224";"4647033";"2,82165326";"41,97515411"
"20160133";"2016001691";"REFORMA DE PISCINA";"Comunicat";"";"";"PERSONA FÍSICA";"MAS JARDI, C.";"11";"";"N";"3109";"01/02/2016";"";"";"";"";"485461";"4644648";"2,82457278";"41,95367758"
"20160137";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"LLEPAS S.A.";"CIUTADANS, C.";"3";"";"N";"5724";"08/02/2016";"";"";"";"";"485492";"4647964";"2,82486503";"41,98354428"
