FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
2234.0,11164,CALLE SAN CLEMENTE,3.0,3000.0,R2371,377265.399259,3149710.56692,-16.2536916169,28.4682124559
2235.0,11125,CALLE PI Y MARGALL,2.0,3000.0,R2372,377292.371949,3149673.15319,-16.2534121693,28.4678773542
2236.0,11125,CALLE PI Y MARGALL,3.0,3000.0,R2373,377204.92823,3149754.5063,-16.2543138696,28.4686032929
2237.0,11125,CALLE PI Y MARGALL,3.0,3000.0,R2374,377177.955541,3149778.43369,-16.2545918841,28.4688166849
2238.0,11311,CALLE EMILIO CALZADILLA,1.0,3000.0,R2375,377707.292153,3149788.55827,-16.2491869947,28.4689578164
2239.0,10756,CALLE GENERAL GUTIERREZ,2.0,3000.0,R2376,377836.38792,3149496.95892,-16.2478376528,28.4663383726
2240.0,10756,CALLE GENERAL GUTIERREZ,2.0,3000.0,R2377,377803.470475,3149428.28666,-16.2481665387,28.465715553
2241.0,10636,CALLE CANDELARIA,5.0,800.0,R2378,377752.717166,3149424.47109,-16.2486844484,28.4656763617
2242.0,40175,CALLE MARIA JIMENEZ,1.0,2400.0,R2379,379966.294746,3152935.70572,-16.2264444318,28.497569462
2243.0,57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,3.0,3200.0,R2380,372869.075258,3144818.03725,-16.2980499709,28.4236391145
2244.0,10559,RBLA AÑAZA,2.0,3200.0,R2381,372677.152008,3144761.4511,-16.3000029196,28.4231097636
2245.0,10320,CALLE LA CORUJA,1.0,3200.0,R2383,372422.195826,3144861.67466,-16.3026166176,28.4239893435
2246.0,57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,3.0,3200.0,R2384,372930.760243,3144947.87202,-16.2974345671,28.4248167997
2247.0,10541,CALLE CATAIXA,4.0,3200.0,R2385,372028.699937,3144198.6826,-16.3065600326,28.4179677532
2248.0,10413,CALLE LA MORENA,1.0,3200.0,R2386,371621.518118,3146946.58243,-16.3110219989,28.4427258358
2249.0,50935,CALLE CUCLILLO,1.0,3200.0,R2387,371101.666925,3147145.82231,-16.3163519206,28.4444726016
2250.0,10369,CALLE EL CAMBULLON,2.0,3200.0,R2388,370552.01294,3145997.89427,-16.321835151,28.4340589427
2251.0,51165,CALLE PINZON,1.0,3200.0,R2389,370894.82562,3146274.78144,-16.3183663185,28.4365916067
2252.0,10270,AVDA LITRE,1.0,2400.0,R2390,370382.9424,3146426.00773,-16.3236092942,28.4379055945
2253.0,10391,CALLE EL WINCHE,1.0,3200.0,R2391,370195.191087,3145708.64608,-16.3254454441,28.4314132526
2254.0,10391,CALLE EL WINCHE,1.0,3200.0,R2392,370228.565879,3145817.01114,-16.3251169106,28.4323944893
2255.0,99057,CTRA AUTOPISTA DEL SUR,2.0,800.0,R2393,374431.872048,3146192.81342,-16.2822461335,28.4361969047
2256.0,50622,CALLE LOS PEREGRINOS,3.0,800.0,R2394,371942.45972,3146129.2748,-16.3076544796,28.4353816898
2257.0,10042,CALLE EL BUHO,4.0,800.0,R2395,371914.441376,3146299.36263,-16.3079594059,28.4369138751
2258.0,11154,CALLE COMADRONA DOLORES DABAN,5.0,800.0,R2396,372602.651235,3147101.2704,-16.3010217194,28.4442179392
2259.0,11154,CALLE COMADRONA DOLORES DABAN,3.0,800.0,R2397,372633.359123,3147186.72007,-16.3007176227,28.4449920664
2260.0,11154,CALLE COMADRONA DOLORES DABAN,3.0,240.0,R2398,372635.996143,3147192.65337,-16.3006913533,28.445045868
2261.0,50421,AVDA DE TINCER,3.0,800.0,R2399,372458.656507,3147002.12863,-16.3024809652,28.4433091824
2262.0,50324,CALLE LA RAJITA,2.0,800.0,R2400,372324.498083,3147248.36043,-16.3038779854,28.4455181502
2263.0,11078,CALLE ACCESO VEREDILLAS,4.0,800.0,R2401,372131.336322,3146552.51661,-16.3057730869,28.4392196923
2264.0,11078,CALLE ACCESO VEREDILLAS,2.0,240.0,R2402,372139.247384,3146546.58332,-16.3056916602,28.439166923
2265.0,52926,CALLE OLIVO,2.0,800.0,R2403,372096.077969,3146732.24992,-16.3061529881,28.4408382163
2266.0,41944,CMNO EL FRONTON,1.0,240.0,R2404,376438.243232,3159634.8228,-16.2632058958,28.5576949687
2267.0,10512,CMNO LA PANADERITA,1.0,240.0,R2405,378850.364981,3157122.21071,-16.2382856064,28.5352472273
