"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",429446988,4583205413,429355066,"4583004.47","2.154937","41.395474","BUS -6-7-33-34-H8--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns",428351881,4583278661,428259969,4583077718,"2.14183","41.396037","BUS -68-V11--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K015","Transports i serveis relacionats","Autobusos nocturns",432153391,4585114561,432061444,4584913599,"2.187093","41.412902","NITBUS -N3--",10,65,"Sant Martí","el Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns",429522266,4586105932,429430344,4585904962,"2.155499","41.421604","BUS -86--",7,37,"Horta-Guinardó","el Carmel",,
"K014","Transports i serveis relacionats","Autobusos diürns",428211829,4576309944,428119916,4576109065,"2.140981","41.33326","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns",428853014,4577670652,428761096,"4577469.76","2.148483","41.345573","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","430895.85",4579690363,430803913,4579489452,"2.172668","41.363941","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns",430917196,4579748864,430825259,4579547953,"2.172916","41.36447","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns",433110754,4588000314,433018799,4587799325,"2.198228","41.438974","BUS -B23--",9,59,"Sant Andreu","el Bon Pastor",,
"K014","Transports i serveis relacionats","Autobusos diürns",432177985,4585075604,432086038,4584874643,"2.187392","41.412554","BUS -33-34-192-B24-H10--",10,65,"Sant Martí","el Clot",,
"K015","Transports i serveis relacionats","Autobusos nocturns",431015376,4584875347,"430923.44",4584674388,"2.173505","41.410651","NITBUS -N1-N4--",7,33,"Horta-Guinardó","el Baix Guinardó",,
"K015","Transports i serveis relacionats","Autobusos nocturns",431651998,4581520132,431560055,4581319204,"2.181501","41.380486","NITBUS -N0-N6--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429214.43",4581312549,429122509,4581111624,"2.152377","41.378406","NITBUS -N0--",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",428800277,4581131094,"428708.36","4580930.17","2.147446","41.376735","BUS -27-109--",3,15,"Sants-Montjuïc","Hostafrancs",,
"K014","Transports i serveis relacionats","Autobusos diürns",432119951,4586503699,432028005,4586302725,"2.186537","41.425411","BUS -62-96--",9,61,"Sant Andreu","la Sagrera",,
"K015","Transports i serveis relacionats","Autobusos nocturns",432119951,4586503699,432028005,4586302725,"2.186537","41.425411","NITBUS -N3--",9,61,"Sant Andreu","la Sagrera",,
"K014","Transports i serveis relacionats","Autobusos diürns",426148991,4584168888,426057099,4583967937,"2.115373","41.403855","BUS -130--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns",432242187,4584929455,432150239,4584728495,"2.188176","41.411243","BUS -33-34-B24-H10--",10,65,"Sant Martí","el Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns","433392.51","4587649.41",433300553,4587448425,"2.201639","41.435837","BUS -11-B23--",9,59,"Sant Andreu","el Bon Pastor",,
"K014","Transports i serveis relacionats","Autobusos diürns",431201319,4588435667,431109382,4588234675,"2.175324","41.442733","BUS -11-32--",8,51,"Nou Barris","Verdun",,
"K014","Transports i serveis relacionats","Autobusos diürns",429799002,4586275885,429707077,4586074913,"2.158791","41.423159","BUS -39--",7,36,"Horta-Guinardó","la Font d'en Fargues",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430741.99",4585530638,430650056,4585329673,"2.17016","41.416529","NITBUS -N6--",7,35,"Horta-Guinardó","el Guinardó",,
