Identificador;DISTRITO;UBICACION;CENTRO;TIPO_VIAL;PARTICULA;NOMBRE_VIA;NUMERO_VIA;COORDENADAX;COORDENADAY;Longitud;Latitud
CONT_ROP_USA_136;SAN BLAS;Calle Pobladura del Valle  8;"Centro Integrado ""Pablo Casals""";Calle;de;Pobladura del Valle;13;4.474.386.678;4.475.266.869;-3.6196398;40.426368
CONT_ROP_USA_137;SAN BLAS;Avenida Guadalajara s/n;"InstalaciÛn Deportiva B·sica ""Campo De Futbol Avenida Guadalajara""";Avenida;de;Guadalajara;0;4.475.690.799;4.474.549.689;-3.6180364;40.419917
CONT_ROP_USA_138;SAN BLAS;Calle San Roman del Valle 8;"Centro Sociocultural ""Antonio Machado""";Calle;de;San Roman del Valle;8;4.472.742.861;4.474.516.651;-3.6215109;40.419601
CONT_ROP_USA_139;SAN BLAS;Calle Helsinki 8;"Instalacion Deportiva B·sica ""PolÌgono Las Rosas""";Calle;de;Helsinki;8;4.488.712.861;4.475.178.567;-3.6027404;40.425664
CONT_ROP_USA_140;SAN BLAS;Avenida de Niza 8;"Centro Deportivo Municipal ""Pepu Hern·ndez""";Avenida;de;Niza;8;4.485.906.674;4.475.412.551;-3.6060717;40.427755
CONT_ROP_USA_141;BARAJAS;Avenida de LogroÒo 70;"Centro Deportivo Municipal ""Barajas"".";Avenida;de;LogroÒo;70;4.501.942.861;4.479.293.567;-3.5874674;40.462815
CONT_ROP_USA_142;BARAJAS;Plaza del NavÌo 4;"Centro Sociocultural ""Teresa de Calculta"".";Plaza;del;NavÌo;4;4.501.826.266;4.478.453.384;-3.5875431;40.455247
CONT_ROP_USA_143;BARAJAS;Avenida de LogroÒo 179;Centro Sociocultural Gloria Fuertes.;Avenida;de;LogroÒo;179;4.496.584.892;4.479.069.271;-3.5937715;40.460765
CONT_ROP_USA_144;BARAJAS;Calle TimÛn 16;"Instalacion Deportiva B·sica ""Nuestra SeÒora de Loreto""";Calle;de;TimÛn;16;4.503.369.973;4.480.379.459;-3.5858658;40.472607
CONT_ROP_USA_145;BARAJAS;Calle BahÌa de M·laga 18;"Instalacion Deportiva B·sica ""Los Coronales""";Calle;de;BahÌa de M·laga;18;4.495.500.712;4.479.837.898;-3.5951064;40.467677
