"dc:identifier";"dc:modified";"id";"lpgc:nombre_concesion";"lpgc:num_concesion";"lpgc:num_variante"
"1244";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1244";"AUDITORIO - CAMPUS UNIVERSITARIO";"25";"231"
"1242";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1242";"AUDITORIO - CAMPUS UNIVERSITARIO";"25";"211"
"1230";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1230";"TEATRO - AUDITORIO";"17";"281"
"1229";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1229";"MERCADO DE VEGUETA - TRES PALMAS";"13";"322"
"1228";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1228";"MERCADO DE VEGUETA - TRES PALMAS";"13";"311"
"1217";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1217";"TEATRO - LOMO DE LA CRUZ";"8";"242"
"1216";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1216";"TEATRO - LOMO DE LA CRUZ";"8";"231"
"1215";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1215";"TEATRO - CAMPUS UNIVERSITARIO";"7";"321"
"1214";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1214";"TEATRO - CAMPUS UNIVERSITARIO";"7";"312"
"12";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/12";"PASEO BLAS CABRERA FELIPE - EL LASSO";"55";"351"
"11";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/11";"PASEO BLAS CABRERA FELIPE - ZÁRATE";"50";"351"
"10";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/10";"PASEO BLAS CABRERA FELIPE - EL LASSO";"55";"341"
"9";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/9";"PASEO BLAS CABRERA FELIPE - ZÁRATE";"50";"341"
"8";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/8";"PASEO BLAS CABRERA FELIPE - EL LASSO";"55";"331"
"7";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/7";"PASEO BLAS CABRERA FELIPE - ZÁRATE";"50";"322"
"6";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/6";"PASEO BLAS CABRERA FELIPE - EL LASSO";"55";"322"
"5";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/5";"PASEO BLAS CABRERA FELIPE - ZÁRATE";"50";"321"
"4";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/4";"PASEO BLAS CABRERA FELIPE - ZÁRATE";"50";"312"
"3";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/3";"PASEO BLAS CABRERA FELIPE - EL LASSO";"55";"312"
"2";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/2";"PASEO BLAS CABRERA FELIPE - EL LASSO";"55";"311"
"1";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1";"PASEO BLAS CABRERA FELIPE - ZÁRATE";"50";"311"
