CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"varias calles","10/05/2012","24",""
"varias calles","11/05/2012","24",""
"entre rios  s/n","14/05/2012","24",""
"entre rios s/n","14/05/2012","24",""
"entre rios s/n","14/05/2012","8-18",""
"entre rio s/n","14/05/2012","8-18",""
"bravo murillo  11","14/05/2012","24",""
"secretario padilla pizarro y panama","14/05/2012","24",""
"secretario padilla  83","14/05/2012","24",""
"alfredo l. jones  33","14/05/2012","8-18",""
"trasera de los bloques de la calle leon 16-18-20-22","11/05/2012","24",""
"la nval frente 129","14/05/2012","8-20","14/05/2012"
"pasion  34","18/05/2012","8-18",""
"leon y castillo nº427","14/05/2012","8/20",""
"BENARTEMI 33-35 ESQUINA FONTANALES 94-96","14/05/2012","","30/06/2012"
"SIMANCAS 21","","",""
"BARCELONA 49","17/05/2012","8-18",""
"MARIUCHA CON NUÑEZ DE BALBOA O VICEVERSA","15/05/2012","8-18",""
"fernando gunarteme nº123","15/05/2012","8/18",""
"varias calles","15/05/2012","24","15/05/2012"
"avenida de primero de mayo  53","16/05/2012","9-20","16/05/2012"
"juan sanchez de la coba  16","16/05/2012","24",""
"leon iii  s/n","15/05/2012","24",""
"farmaceutico miguel padilla  10","21/05/2012","24",""
"jose franchy  roca 29 de abril secretario artiles","15/05/2012","",""
"nuñez de balboa","17/05/2012","07,30/13,00","24/05/2012"
"viera y clavijo 18 -20","31/05/2012","8/22","02/06/2012"
"varias calles","16/05/2012","24","16/05/2012"
"franchy roca, con fernando guanarteme","18/05/2012","8/18","18/05/2012"
"simancas 7","17/05/2012","24",""
"varias calles","07/05/2012","24",""
"varias calles","07/05/2012","24",""
"varias calles","17/05/2012","24","17/05/2012"
"leon y castillo nestor de la torre","17/05/2012","24","18/05/2012"
"nestor de la torre 2leon y castillo","17/05/2012","24",""
"rafael mesa y lopez","26/03/2012","7,30-20,00",""
"olof palme  41","17/05/2012","24","18/05/2012"
"avda pepe damaso, con lucy cabrera","23/05/2012","8,30/13,30","24/05/2012"
"eusebio navarro","21/05/2012","8/18","25/05/2012"
"eusebio navarro4","21/05/2012","8/18","21/05/2012"
"victor hugo 69-71, gnral mas de gaminde22","21/05/2012","8/18",""
"alfonso xxII, plazoleta de peron, plaza de la concordia.","21/05/2012","8/18","18/06/2012"
"daoiz. Fernando guarnarteme","21/05/2012","24",""
"obispo romo(colegio ffederico garcia lorca.)","23/05/2012","8/18",""
"doctor domingo deniz nº3","21/05/2012","8/18",""
"san andres nº58","21/05/2012","8/18",""
"avda 1º de mayo nº36/perdomo.","22/05/2012","24",""
"alfredo de musset nº8","","",""
"LUI9S CORREA MEDINA, 19","22/05/2012","8/20","25/05/2012"
"alfonso xii plazoleta de peron concordia  constitucion","21/05/2012","8-20",""
"pintor juan guillermo  5","22/05/2012","9-13","22/05/2012"
"echegaray  62-64","23/05/2012","8-20",""
"gran  canaria  6","23/05/2012","8-18","23/05/2012"
"avenida de escaleritas  149","23/05/2012","8-20","23/05/2012"
"plaza de la puntilla","22/05/2012","8-20",""
"victor hugo  entre valencia menendez y palayo","21/05/2012","9-12",""
"faro, 144 y Frente a este","23/05/2012","",""
"leon y castillo, 419","28/05/2012","","28/05/2012"
"Pilarillo seco, 10","24/05/2012","8-18","24/05/2012"
"avd. 1º de mayo, 53","23/05/2012","8-18","23/05/2012"
"avenida de escaleritas carril derecho","22/05/2012","7,30-13,00",""
"avda de jose mesa y lopez 45","24/05/2012","22-24,00","24/05/2012"
"juan xxxiii  perez del toro","24/05/2012","24-3,00","24/05/2012"
"avenida primero de mayo","28/05/2012","22-2,00",""
"ramblas de jinamar  junto estacio","23/05/2012","8-20",""
"varias calles","22/05/2012","24",""
"varias calles","21/05/2012","24",""
"doctor juan dominguez perez  13","25/05/2012","8-18",""
"senador castillo olivares   42","24/05/2012","24",""
"mayor de triana 47","24/05/2012","8-18","24/05/2012"
"americo vespucio 35","24/05/2012","24","22/06/2012"
"domingo j. navarro  4","28/05/2012","8-18",""
"avda de jose mesa y lopez  57","24/05/2012","8-18",""
"nuñez de balboa, 1","24/05/2012","8-18",""
"Avd. juan xxiii, 5","23/05/2012","8-18","23/05/2012"
"sagasta y gofiones","29/05/2012","24-4,00",""
"eduarcdo benitez gonzalez  plaza hermanos millares","23/05/2012","24",""
"varias calles","23/05/2012","24","23/05/2012"
"alemania  38 esq. Italia","31/05/2012","24",""
"blas cabrera felipe alt ebar hoya la plata","28/05/2012","24",""
"mayor de triana","24/05/2012","n/c","07/06/2012"
"luis morote  16","15/06/2012","8-20",""
"loserp francisco gourie","28/05/2012","8-20",""
"losero  1","28/05/2012","24",""
"nestor de la torre  21-23","28/05/2012","8-18","28/05/2012"
"secretario padilla  13","24/05/2012","8-20","25/05/2012"
"avenida d amurga","24/05/2012","normal",""
"leon y castillo, 50","28/05/2012","24","02/06/2012"
"fayvanes  15","04/06/2012","8-20",""
"mederos  24","04/06/2012","8-20",""
"varias calles","24/05/2012","24",""
"mayor de triana, 106","25/05/2012","8-20","25/05/2012"
"cayetana manrique, 47","28/05/2012","24",""
"Cayetana manrique, frente al, 45","28/05/2012","8-18",""
"VARIAS CALLES","25/05/2012","24",""
"CALZADA LATERAL DEL NORTE  30","25/05/2012","24",""
"PASEO DE LAS CANTERAS  77","29/05/2012","24",""
"CEBRIAN  8-10","26/05/2012","24",""
"LOS GUYABEROS  14","28/05/2012","24",""
"CRUZ DEL OVEJERO  35","28/05/2012","8-18",""
"VELARDE  19-21-23","28/05/2012","8-20",""
"PALFOX  20-23","28/05/2012","8-20",""
"AVDA JOSE MESA Y LOPEZ  57","25/05/2012","24",""
"PEROJO  36","31/05/2012","24",""
"GENERAL MAS DE GAMINDE 12","04/07/2012","8-20",""
"INESILLA CON FERNANDO CALPENA","29/05/2012","6-12",""
"AVDA DE JOSE MESA Y LOPEZ  57","28/05/2012","8-18",""
"VILLAVICENCIO 13","28/05/2012","8-18","28/05/2012"
"LEON Y CASTILLO  46","28/05/2012","8-18",""
"varias calles","28/05/2012","24","28/05/2012"
"paseo de las canteras( junto a la instalacion deportiva de la cicer)","31/05/2012","8/18",""
"avda jose sanchez peñate carril derecho c.c las arenas","12/06/2012","24",""
"nicolas estevanez   64","04/06/2012","24",""
"doctor jose juan mejias-jorje, 1-3","29/05/2012","24","08/06/2012"
"italia, 3","29/05/2012","8-20","29/05/2012"
"ruiz de alda, del 2 al 10 y esq. Presidenrte alvear","31/05/2012","24",""
"luis doreste silva, 14-16","31/05/2012","24","13/06/2012"
"varias calles","29/05/2012","24",""
"avenida  de jose mesa y lopez","29/05/2012","22-2,00",""
"avenida de primero de mayo","05/06/2012","22,00-2,00",""
"bodegas del conde","30/05/2012","n/c",""
"angel guerra  24","31/05/2012","8-20","31/05/2012"
"bolivia, 6-Paseo de las canteras, 89","31/05/2012","8-12",""
"varias de la ciudad","31/05/2012","24","31/05/2012"
"general","01/06/2012","","15/06/2012"
"obispo rabadan 32","04/06/2012","8/18",""
"diderot 19","04/06/2012","24","12/06/2012"
"valencia 13","18/06/2012","24","22/06/2012"
"termino municipal","04/06/2012","24","31/12/2012"
"termino municipal","04/06/2012","24","31/12/2012"
"al labrador 42","11/06/2012","24",""
"viera y clavijo 18 -20","08/06/2012","8/22",""
"travieso 8","04/06/2012","8/12",""
"domingo doreste fray lesco 17","04/06/2012","24","13/06/2012"
"varisa de la capital","","",""
"plaza de santiago( lateral teatro perez galdos )","04/06/2012","24","07/06/2012"
"rafael mesa y lopez 69","06/06/2012","8/18",""
"rafael mesa y lopez 69","06/06/2012","24",""
"trasera gustavo j. navarro nieto 1-3-5","05/06/2012","8/18",""
"LUIS DORESTE SILVA","","",""
"zonas peatonales y carril bus taxi","04/06/2012","22/06","31/12/2012"
"cayetrano marique 47","11/06/2012","8/18","12/06/2012"
"lomo de la plana s/n","05/06/2012","8/18",""
"marihucha 161","18/06/2012","24",""
"malfu 16","06/06/2012","8/18","06/06/2012"
"prolongacion manzanilla ( edi. Los girasoles)","05/06/2012","8/18",""
"varias","04/06/2012","24","04/06/2012"
"francisco inglot artiles  1","07/06/2012","24",""
"francisco inglot artiles  1","07/06/2012","8-20",""
"pedro perdomo acedo 10","06/06/2012","8/18",""
"varias calles","05/06/2012","24","05/06/2012"
"panama 1","11/06/2012","24",""
"tomas morales esqui. Bravo murillo","06/06/2012","22/04","15/06/2012"
"sagasti y los gofiones","06/06/2012","22/04","08/06/2012"
"bravo murillo","11/06/2012","22/04","15/06/2012"
"san justo 4","11/06/2012","24",""
"varias de la ciudad","06/06/2012","24","06/06/2012"
"francisco gourie  79","08/06/2012","8-20",""
"faicanes 38","08/06/2012","8/18","08/06/2012"
"veira y clavijo 18 -20","14/06/2012","20/22",""
"rafael cabrera 28","11/06/2012","8/18","15/06/2012"
"averia","07/06/2012","24","07/06/2012"
"cayetano de lugo 47","13/06/2012","818/","15/06/2012"
"cayetano de lugo 47","13/06/2012","24","15/06/2012"
"luis antunez, manuelgonzalez martin , y aparcamienos","11/06/2012","24/04","15/06/2012"
"luis antunez, manuelgonzalez martin , y aparcamienos","26/06/2012","24/04","27/06/2012"
"caleta  20","01/06/2012","8-18",""
"general vives 68 88 esq. Nicolas estevanez 6-7","11/06/2012","24",""
"amapola 22.esquina berrazal.","19/06/2012","24",""
"amapoal 20","12/06/2012","24",""
"vega delrio palma 145","11/06/2012","8/18","11/06/2012"
"jordan 79  nestor alamo","11/06/2012","8/18",""
"leon y castillo 1","11/06/2012","24","16/06/2012"
"varias termino minicipal","08/06/2012","24","08/06/2012"
"olof palme 41","08/06/2012","","10/06/2012"
"garcia tello s/n","11/06/2012","8-18",""
"luis antunez  54","08/06/2012","24",""
"victor hugo  10","12/06/2012","24",""
"varias de la ciudad","11/06/2012","24","11/06/2012"
"isla de cuba","21/06/2012","8/18","21/06/2012"
"sor brigida castello 1-3","14/06/2012","8/18","14/06/2012"
"emilio castelar 4-6","18/06/2012","24","22/06/2012"
"mario cesar ( carriles interiores junto a la mediana)","11/06/2012","10:30 a12:30","11/06/2012"
"carril izqi. Carretera de teror ( gc21)","14/06/2012","10:00 a11:30","14/06/2012"
"cadiz 34","12/06/2012","8/18",""
"presidente alvear 48","12/06/2012","8/18",""
"la aldea 5","13/06/2012","8/18",""
"pedro perdomo acedo 10","12/06/2012","8/18",""
"varias  de la cicudad","12/06/2012","24","12/06/2012"
"avd. primero de mayo ambos sentidos alternativamente","13/06/2012","22/02:00","14/06/2012"
"mario cesar carriles interiores junto a la mediana","13/06/2012","10:30/12:30","14/06/2012"
"padre sanz sanz 43-41","18/06/2012","24",""
"varias de la capital","13/06/2012","24","13/06/2012"
"pino apolinario 46","15/06/2012","24","15/06/2012"
"benecharo 67","18/06/2012","24","19/06/2012"
"drago, portales 5,7,9","19/06/2012","24","19/06/2012"
"avd. pintor felo monzon (c.c. siete palmas )","14/06/2012","07:30/18",""
"paseo de las canterasy paseo puntilla - el confital.","13/06/2012","8/20",""
"Alfredo calderon, 64","19/06/2012","8-18","19/06/2012"
"san marcos nº 4","18/06/2012","",""
"paseo de las canteras","20/06/2012","8/18",""
"concejal garciz feo","20/06/2012","24h",""
"calzada lateral del norte","19/06/2012","24 h",""
"don pedro infinito","26/06/2012","",""
"gustavo j. navarro nieto 1-3-5","20/06/2012","8/18",""
"varias del termino municipal","18/06/2012","24","18/06/2012"
"vergara 9","20/06/2012","8/18",""
"general vives nº 57","21/06/2012","24h",""
"travieso - general bravo","20/06/2012","24",""
"varias del termino","19/06/2012","24","19/06/2012"
"varias del termino","19/06/2012","24","19/06/2012"
"jose mesa y lopez, edif. Woemann, parque sata. Catalina, la regenta ( leon y castillo) intercambiador, castillo de la luz, mercado de vegueta.","19/06/2012","8/20","18/07/2012"
"avd. principe de asturias( delante auditorio alfredo kraus) paseo de las canteras,(inmediasiones club victoria) el confital, dentro de la zoa de la playa, parque sta. Catalina, Acceso luis morote. Plaza de canarias, centro de","19/06/2012","8/20",""
"CANALEJAS 7-9","25/06/2012","24",""
"VARIAS DE L TERMINO MUNICIPAL","20/06/2012","24","20/06/2012"
"FRANCISCO GOURIER ( lateral del teatro perez galdos)","22/06/2012","8/18","22/06/2012"
"leon y castillo 152","21/06/2012","8/18","21/06/2012"
"avd. juan xxiii","22/06/2012","8/18","22/06/2012"
"secretario padillla 51","26/06/2012","24",""
"pintor pepe damaso","21/06/2012","8/20","23/06/2012"
"leon y castillo 274","21/06/2012","8/20","26/06/2012"
"federico de leon con jorde","21/06/2012","8/18",""
"teobaldo power( junto a la entrada plaza de la libertad)","21/06/2012","11/20","21/06/2012"
"mayor de triana 34","22/06/2012","8/18","22/06/2012"
"agustin de aragon202 -206","27/06/2012","8/18","28/06/2012"
"gerl. Jose antonio gutierrez melllado","21/06/2012","8/18","18/08/2012"
"general bravo, travieso","22/06/2012","24",""
"perdomo, lagunetas","26/06/2012","24","24/08/2012"
"lagunetas ,perdomo","26/06/2012","",""
"colmenares ( trasera hotel parque)","02/07/2012","24",""
"colmenares ( trasera hotel parque)","02/07/2012","8/18",""
"paseo de chil, 117","22/06/2012","8-18","22/06/2012"
"barcelona, 2","22/06/2012","8-18","22/06/2012"
"varias del termion municipal","22/06/2012","24","22/06/2012"
"juna ponce perez 42","26/06/2012","8/18","28/06/2012"
"paseo de san jose 30","26/06/2012","8/18","26/06/2012"
"sucre 14","24/06/2012","24",""
"profesor lozano 14","24/06/2012","24","22/08/2012"
"olof palme 22","27/06/2012","8/18",""
"leon y castillo 393","26/06/2012","8/18","27/06/2012"
"venegas 65","29/06/2012","8/18",""
"pizarro 9","28/06/2012","8/18","29/06/2012"
"reyes catolicos 7","27/06/2012","8/18","28/06/2012"
"varias del termino municipal","26/06/2012","24","26/06/2012"
"termino municipal","03/07/2012","8/20","31/12/2012"
"doctor juan dominguez perez","26/06/2012","8/20","23/09/2012"
"DR. RUANO Y URQUÍA","27/06/2012","8-20 HORAS",""
"mary sanchez 39","15/07/2012","8/20","19/07/2012"
"termino municipal","27/06/2012","24","27/06/2012"
"fernando guanarteme 27","05/07/2012","8/20","06/07/2012"
"euseboo navarro 10","09/07/2012","8/20","10/07/2012"
"frco. Gourier 57","02/07/2012","8/20","03/07/2012"
"malfu 14","02/07/2012","8/20","03/07/2012"
"acceso plaza san antonio  abab","30/06/2012","16:30","30/06/2012"
"paseo de chil 207","02/07/2012","8/18",""
"dolores de la rocha, 14-16-18","29/06/2012","8-18",""
"pintora carmen lopis 6","29/06/2012","8/18","29/06/2012"
"varias del trermio","28/06/2012","24","28/06/2012"
"don pedro infinito 98","29/06/2012","24",""
"treobaldo power ( junto  a la entrada plaza de la libertad )","28/06/2012","8/18",""
"prudencio morales 24","02/07/2012","24","03/07/2012"
"prudencio morales 24","02/07/2012","8/12","03/07/2012"
"Varias de la Ciudad, ver Observaciones","09/07/2012","8-20","13/08/2012"
"Varias de la ciudad, ver observaciones","09/07/2012","8-20","13/08/2012"
"Perdomo, 8-10","29/06/2012","8-12","19/07/2012"
"varias del termino municipal","29/06/2012","24","29/06/2012"
"fernando guanarteme frente 144","29/06/2012","24","30/06/2012"
"juan rejon 5","03/07/2012","24","04/07/2012"
"juan de gutemberg","02/07/2012","8/20","11/07/2012"
"simon boliva esquina comandante ramon franco","03/07/2012","8/18","04/07/2012"
"simon bolivar 5-3","03/07/2012","8/18","04/07/2012"
"simon bolivar esquina leon y castillo","03/07/2012","8/18","04/07/2012"
"general vivies esquina franchy roca","03/07/2012","8/18","04/07/2012"
"simon bolivar el marino","03/07/2012","8/18","04/07/2012"
"mayor de triana 106","02/07/2012","8/18","02/07/2012"
"ingeniero salinas 55","05/07/2012","8/18","05/07/2012"
"camion escaleara","05/07/2012","8/18","06/07/2012"
"general vives 57","03/07/2012","24",""
"sagasta, 63","03/07/2012","8-20","05/07/2012"
"SAGASTA, 63","03/07/2012","8-20","05/07/2012"
"varias calles","02/07/2012","24",""
"avda de jose mesa y lopez  67","02/07/2012","24",""
"castillejos 89","03/07/2012","8-20",""
"pedro infinito 133","05/07/2012","8-20","05/07/2012"
"sagasta, 80","10/07/2012","8-12","10/07/2012"
"josé franchi roca, 12-14","03/07/2012","8-20",""
"juan manueldurna g. avda jose mesa y nlopez r de alda","04/07/2012","8-20",""
"luis morote eduardo benot","04/07/2012","22-6,00",""
"lujan perez  123","09/07/2012","24",""
"varias calles","03/07/2012","24",""
"gravina  17","09/07/2012","24",""
"italia 67","09/07/2012","24",""
"colon (Casa de Colon), 1","04/07/2012","24","01/09/2012"
"secretario artiles  87","04/07/2012","8-12",""
"ctra gral de tamaraceite  119","06/07/2012","8-18","06/07/2012"
"rafael mesa y lopez","04/07/2012","7,30-20,00",""
"leon y castillo  427","10/07/2012","8-18","10/07/2012"
"leon y castillo 427","11/07/2012","8-18","11/07/2012"
"leon y castillo 427","12/07/2012","8-18","12/07/2012"
"juan manuel duran gonzalez  39","05/07/2012","8-18","05/07/2012"
"bateria de san juan y lateral  9","05/07/2012","24",""
"plaza del fuero real 2","09/07/2012","8-18","09/07/2012"
"joaquin blume  19","05/07/2012","8-20",""
"viera y clavijo, 16-20","11/07/2012","8-22","12/07/2012"
"secretario artiles  83","05/07/2012","24",""
"varias calles","05/07/2012","24",""
"travieso 12","05/07/2012","8/12",""
"leon y castillo, inmediaciones de nestor de la torre","09/07/2012","8/18","09/07/2012"
"nestor de la torre 2","09/07/2012","8/18","09/07/2012"
"varias del termino municipal","06/07/2012","24","06/07/2012"
"perojo  19","09/07/2012","8-18","09/07/2012"
"perez muñoz  4","09/07/2012","24",""
"concejal manuel rodriguez c. hesp. P. delas canteras","09/07/2012","24",""
"numancia  44","16/07/2012","8-17",""
"churruca 1 y frente","09/07/2012","24",""
"manuel de falla  66","12/07/2012","8-18",""
"avda pintor felo monzon  44","10/07/2012","8-18","10/07/2012"
"general mas de  gaminde 26","09/07/2012","8-20",""
"timple -arroro  8","09/07/2012","24",""
"varias calles","09/07/2012","24",""
"eusebio navarro  4","12/07/2012","8-18",""
"carmen quintana  19-21","11/07/2012","24",""
"ingeniero salinas  21","10/07/2012","8-18",""
"varias calles","10/07/2012","24",""
