"TITULO","TEMATICA","AUTOR","FECHA"
"Conjunto decorativo Plaza de Santa Isabel","    Mobiliario y Aderezos Urbanos. Varios","    José Antonio García Álvarez","    2003"
"La Sabina","    Artes Plásticas. Escultura conmemorativa","    Juan Antonio Giraldo","    2003"
"Decoración de los jardines de la Minilla","    Mobiliario y Aderezos Urbanos. Varios","    José Antonio García Álvarez","    2003"
"Taquera","    Muebles. Taquera","  ","    C. 1990"
"El personaje","    Artes plásticas - Collage abstracto","    Manolo Millares","    1966"
"Sin título (Piedra roja)","    Abstracto","    Tony Gallardo","    1977"
"Planeta ella","    Escultura","    Carmela García",2004
"Calor  (Homenaje a Felo Monzón)","    Artes Plásticas. Escultura. Abstracta","    Máximo Riol Cimas","    1994"
"Ideograma","    Escultura","    Juan Hidalgo",2004
"El Gabinete Literario","    Artes Plásticas. Pintura. Paisaje urbano monumental","    Pedro González","    2004"
"La plaza del Espíritu Santo","    Artes Plásticas. Pintura. Paisaje urbano monumental","    Pedro González","    2004"
"Lámparas poligonales de techo del Teatro Pérez Galdós (7)","    Artes Decorativas. Varios. Lámpara","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Cordialidad","    Escultura abstracta","    Juan José Gil","    2004"
"Señora de compras","    Escultura figurativa","    Fernando Maseda García y Magdalena Juan Rijo","    2003"
"Monumento conmemorativo a Schamann","     Escultura conmemorativa","    ESCULTURAS FUNCHO","    2004"
"Semilla reciclada","    Pintura abstracta","    Francisco López Díaz","    2004"
"Natural II","    Pintura abstracta","    Pablo Ramírez Benítez","    2004"
"Rockero","    Pintura abstracta","    Carmelo Montesdeoca Ortega","    2004"
"16 personajes de mi memoria para mi pintura","    Pintura abstracta","    Roger Sanguino","    2005"
"Luz y sombra","    Pintura figurativa","    Dulce Abreut Cabrera","    2005"
"Un día en el campo","    Pintura figurativa","    Geme María Sánchez Yáñez","    2005"
"Cartel del carnaval 2005","    Artes Plásticas. Pintura. Cartel","    Fernando Álamo","    2004"
"Cartel del carnaval 2006","    Artes Plásticas. Pintura. Cartel","    Marta Mariño Casillas","    2005"
"Busto del Papa Juan Pablo II","    Artes Plásticas. Busto","    Manolo González","    2007"
"Homenaje a Mary Sánchez","    Artes Plásticas. Escultura de cuerpo entero","    Ana Luisa Benítez","    2006"
"Busto preparatorio en yeso de Luis Morote Greus","    Artes Plásticas. Monumento Conmemorativo","    Francisca Melián Chirino","    1994"
"Piano ""Haake""","    Muebles. Piano","  ","    Circa 1920"
"Video World","    Artes plásticas. Cartel","    Alexandre Rego Do Nascimento Reigada","    2006"
"Historias en la ciudad: una difícil decisión","    Artes plásticas. Pintura","    Alby Esteban Álamo Santana","    2006"
"""Héroes solidarios"" - Homenaje a trabajadores fallecidos en accidente laboral","    Artes plásticas. Escultura","    Etual Ojeda","    2006"
""" Cambullonero""","    Artes plásticas. Escultura","    Luis Alemán Montull","    2006"
"Pórticos","    Artes plásticas. Escultura","    Juan Correa Bordes","    2006"
"Cartel del Carnaval 2007","    Artes Plásticas. Pintura. Cartel","    Pablo Losa","    2006"
"Homenaje a Juan Casalla Saavedra ""El Chacalote""","    Artes Plásticas. Escultura","    Sebastián M. Navarro Betancor","    2006"
"""Damas, fondo y estrategia""","    Artes Plásticas. Pintura","     Ana Beltrán Álvarez","    2007"
"Placa conmemorativa dedicada a Néstor Martín-Fernández de la Torre","    Mobiliario y Aderezos Urbanos. Placas conmemorativas","  ","    1973"
"Sillones Ermita de Santa Catalina (2)","    Muebles. Silla","    Anónimo","    C. Primera mitad del siglo XX"
"El ovillo","    Artes Plásticas. Escultura","    Pepe Dámaso","  "
"""Triana""","    Artes Plásticas. Pintura","    Juan Guerra Hernández","    2007"
"""Ala con mucho polen""","    Artes Plásticas. Pintura","    Fernando Álamo","    2004"
"Aplique de la pared de la sala, de dos brazos (6)","    Artes Decorativas. Varios. Aplique de pared","    Miguel Martín - Fernández de la Torre","    C.1925 - 1928"
"Espejo","    Artes Plásticas. Pintura","    Emilio Almoguera Macías","    abril 2008"
"Sala de espera","    Artes Plásticas. Pintura","    Carmelo M. González Martín","    marzo 2008"
"Otomana","    Artes Plásticas. Escultura. Alegórica","    Leopoldo Emperador",2008
"Luminarias de los Puertos Atlánticos","    Artes Plásticas. Escultura figurativa","    Oscar Tusquets","    1997"
"Pequeños placeres","    Artes Plásticas. Pintura","    Ana María Rivero Arcos","    Mayo 2009"
"Paso de las cañas-Paysandu","    Artes Plásticas. Pintura","    Jorge W. Corti","  "
"""Sin título""","    Artes Plásticas. Pintura","    Graciela Gutiérrez Diepa","    2009"
"""Sin título""","    Artes Plásticas. Pintura","    Yolanda Graziani","C. Segunda mitad siglo XX"
"""Dos silencios dorados""","    Artes Plásticas. Pintura","    Juan José Gil",2009
"Escudo de la Ciudad de Las Palmas de Gran Canaria","    Mobiliario y Aderezos Urbanos. Heráldica","  ","  "
"El embarcadero de Yangon","    Artes Plásticas. Pintura","    Rubén Martín de Lucas","    2010"
"Harry Haller","    Artes Plásticas. Pintura","    Juan Santiago Cabrera Cruz","    2010"
"""Sin título""","    Artes Plásticas. Pintura","    Yolanda Graziani","  "
"""Curvas activas (caja cinética)""","    Artes Plásticas. Pintura","    Rafael Monzón Grau-Bassas (Felo Monzón)","    1976"
"El Nacimiento de Gran Canaria","    Artes Plásticas. Escultura alegórica","    Abraham Cárdenes","   2010"
"Monumento a Adargoma","    Artes Plásticas. Escultura Conmemorativa","    Manuel González","    C. 1989 - Bronce 2010"
"""Píntame""","    Artes Plásticas. Pintura","    Carlos Diego Franco","    09-10-2010"
"""Exordio"", el Tritón","    Artes plásticas - Escultura","    Manuel González","    2011"
"Sin título  (vista del risco de San Roque a orillas del Barranco Guiniguada)","    Artes Plásticas. Pintura","    Juan Guillermo Rodríguez Báez","    1939"
"""Sicomoro I""","    Artes Plásticas. Escultura","    Leopoldo Emperador","    2008"
"Sin Título","    Artes Plásticas. Pintura","   Santos de Veracruz (Grupo Muchachito Bombo Infierno)","    2011"
"Monumento conmemorativo bicentenario Muelle de las Palmas (ancla)","    Artes Plásticas. Monumento Conmemorativo","  ","  "
"Busto de Agustín Millares Carló","    Artes Plásticas. Busto","    Juan Jaén Díaz","    1964"
"Los mártires de San Lorenzo","    Artes Plásticas. Monumento Conmemorativo","    Agustín Torón","    2010"
"""La vie en bleu""","    Artes Plásticas. Pintura","    Miguel Ángel López Salazar","    junio 2011"
"""El suspense""","    Artes Plásticas. Pintura","    Alby Álamo Santana","   junio 2011"
"Raíces","    Artes Plásticas. Escultura figurativa","    Salvador Gil Clemente","    2012"
"Monumento a José Franchy Roca","    Artes Plásticas. Busto","    José Luis Marrero Cabrera","    2004"
"""Luces en el vacío""","    Artes Plásticas. Escultura conmemorativa","    Juan Velázquez Padrón e Iván S. Rodríguez Cabrera","    Agosto 2010"
"Placa conmemorativa del centenario de José Castellano - ""Pepe Monagas""","    Artes Plásticas. Escultura conmemorativa","    Susana Requena","    C. 2004"
"""Sueño""","    Artes Plásticas. Pintura","    Mireia Tramunt Alvarado","    08/10/2011"
"Sin título","    Artes Plásticas. Pintura","Rubén Armiche Benítez","    octubre 2001"
"Sin título","    Artes Plásticas. Pintura","    Francisco Javier Navarro Medina","    octubre 2000"
"Sin título","    Artes Plásticas. Pintura","    Francisco Javier Navarro Medina","    octubre 2002"
