Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
20/03/2014,CIUDAD JARDIN,SAN JOSE,CL PAPIRO Nr: 8,Linea 900,Vía Pública,Desratización,Ratas
20/03/2014,CAMPANILLAS,HUERTECILLA MAÑAS,CL SAMANIEGO Nr: 80,Linea 900,Colégio Público,INSPECCIÓN,Procesionaria
20/03/2014,TEATINOS-UNIVERSIDAD,TEATINOS,CL MESONERO ROMANOS Nr: 15,Linea 900,Vía Pública,INSPECCIÓN;Desratización,Indeterminado;Ratas
20/03/2014,CAMPANILLAS,SEGOVIA,CL RIGA Nr: 16,Linea 900,Vía Pública,Desinsectación,Cucarachas
20/03/2014,BAILEN-MIRAFLORES,SUAREZ,CL MORAIMA Nr: 1,Linea 900,Vía Pública,Desinsectación,Cucarachas
20/03/2014,BAILEN-MIRAFLORES,GAMARRA,CL BRUJULA Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
20/03/2014,TEATINOS-UNIVERSIDAD,HACIENDA BIZCOCHERO,BV LOUIS PASTEUR Nr: 7,Actuación Programada,SOLAR MUNICIPAL,INSPECCIÓN,Indeterminado
20/03/2014,ESTE,LA MOSCA,CL PINTOR SANCHEZ COTAN Nr: 25,Actuación Programada,Colégio Público,Desratización,Ratas
20/03/2014,CIUDAD JARDIN,CIUDAD JARDIN,CL ALBERCA Nr: 5,Actuación Programada,Colégio Público,Desratización,Ratas
20/03/2014,CIUDAD JARDIN,LOS VIVEROS,CL GALINDEZ DE CARVAJAL Nr: 11,Actuación Programada,Colégio Público,Desratización,Ratas
20/03/2014,CIUDAD JARDIN,LAS FLORES,CL OBISPO BARTOLOME ESPEJO Nr: 20,Actuación Programada,Colégio Público,Desratización,Ratas
20/03/2014,CIUDAD JARDIN,JARDIN DE MALAGA,CL MARQUES DE MANTUA Nr: 17,Actuación Programada,Colégio Público,Desratización,Ratas
20/03/2014,CIUDAD JARDIN,PARQUE DEL SUR,CL DONATO JIMENEZ Nr: 8,Actuación Programada,Colégio Público,Desratización,Ratas
