FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_industria.fid--295bdb9_15f5b982349_-1ae2,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:27:29.6,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367728.44233519176 4064068.422593219)
da_industria.fid--295bdb9_15f5b982349_-1ae1,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:34:47.623,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367729.3673656527 4064147.6505778558)
da_industria.fid--295bdb9_15f5b982349_-1ae0,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:36:52.957,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367896.2609376386 4064145.4303452107)
da_industria.fid--295bdb9_15f5b982349_-1adf,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:37:49.577,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367901.59175276826 4064145.377873946)
da_industria.fid--295bdb9_15f5b982349_-1ade,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:40:37.757,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368040.80817392137 4063991.604439061)
da_industria.fid--295bdb9_15f5b982349_-1add,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:41:17.04,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368040.70364841726 4064004.2515473645)
da_industria.fid--295bdb9_15f5b982349_-1adc,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:50:09.223,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367609.15028133447 4063726.448011719)
da_industria.fid--295bdb9_15f5b982349_-1adb,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:53:04.023,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367531.14400567184 4063728.072627033)
da_industria.fid--295bdb9_15f5b982349_-1ada,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T09:44:18.07,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367526.3285104666 4063865.939046718)
da_industria.fid--295bdb9_15f5b982349_-1ad9,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T09:52:51.87,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367175.6526867456 4064155.1836690577)
da_industria.fid--295bdb9_15f5b982349_-1ad8,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T09:54:24.57,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367434.695484189 4064144.1580738365)
da_industria.fid--295bdb9_15f5b982349_-1ad7,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T10:47:33.603,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367173.3475589167 4064099.2994203297)
da_industria.fid--295bdb9_15f5b982349_-1ad6,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T10:50:05.07,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367278.51245691656 4064072.197866695)
da_industria.fid--295bdb9_15f5b982349_-1ad5,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T10:52:39.733,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367247.65908076515 4064002.5893215346)
da_industria.fid--295bdb9_15f5b982349_-1ad4,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T10:54:42.383,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367290.8298403007 4064003.0828763833)
da_industria.fid--295bdb9_15f5b982349_-1ad3,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T10:58:26.52,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367410.50052753265 4063999.617351381)
da_industria.fid--295bdb9_15f5b982349_-1ad2,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:03:48.587,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367183.5733725303 4063990.043414451)
da_industria.fid--295bdb9_15f5b982349_-1ad1,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:06:07.1,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367242.5285249826 4063895.8371395255)
da_industria.fid--295bdb9_15f5b982349_-1ad0,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:11:52.413,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367314.762989127 4063862.0586639415)
da_industria.fid--295bdb9_15f5b982349_-1acf,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:13:29.527,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367305.75785638945 4063733.323920755)
da_industria.fid--295bdb9_15f5b982349_-1ace,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:18:04.317,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367406.408053887 4063789.5950771873)
da_industria.fid--295bdb9_15f5b982349_-1acd,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:23:08.857,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367453.19509488594 4063630.88518225)
da_industria.fid--295bdb9_15f5b982349_-1acc,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:25:45.573,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367469.2040031232 4063653.0064886953)
da_industria.fid--295bdb9_15f5b982349_-1acb,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:27:36.81,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367539.8240762729 4063652.1518112556)
da_industria.fid--295bdb9_15f5b982349_-1aca,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:33:17.827,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367426.17295995925 4063938.174642271)
da_industria.fid--295bdb9_15f5b982349_-1ac9,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:36:03.713,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367330.2403458047 4063932.9806277407)
da_industria.fid--295bdb9_15f5b982349_-1ac8,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T11:40:38.353,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367220.1977367496 4063709.508125988)
da_industria.fid--295bdb9_15f5b982349_-1ac7,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T12:20:56.37,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (369099.2061817008 4063241.226419545)
da_industria.fid--295bdb9_15f5b982349_-1ac6,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T12:23:15.723,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (369102.28864182706 4063137.2028519474)
da_industria.fid--295bdb9_15f5b982349_-1ac5,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T12:24:34.81,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368999.7710119882 4063058.4167077313)
da_industria.fid--295bdb9_15f5b982349_-1ac4,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T12:25:43.963,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368931.3823609188 4063109.424221037)
da_industria.fid--295bdb9_15f5b982349_-1ac3,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T06:57:22.52,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (365172.540612092 4063239.4204568053)
da_industria.fid--295bdb9_15f5b982349_-1ac2,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T07:01:48.09,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (365140.30770427897 4063239.4509913777)
da_industria.fid--295bdb9_15f5b982349_-1ac1,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T07:06:19.48,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (364983.00511442067 4063144.4836951937)
da_industria.fid--295bdb9_15f5b982349_-1ac0,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T07:09:54.87,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (365006.0798757832 4063008.1931527318)
