DATA_ACCIDENT,ANY_ACCIDENT,MES_ACCIDENT,HORA_ACCIDENT
05/07/2013,2013,7,22:20
06/07/2013,2013,7,23:25
07/07/2013,2013,7,13:50
07/07/2013,2013,7,22:50
10/07/2013,2013,7,06:19
08/07/2013,2013,7,18:45
29/06/2013,2013,6,06:30
10/07/2013,2013,7,14:56
10/07/2013,2013,7,20:20
09/07/2013,2013,7,11:00
11/07/2013,2013,7,17:25
13/07/2013,2013,7,23:00
12/07/2013,2013,7,15:30
15/07/2013,2013,7,00:15
16/07/2013,2013,7,14:00
17/07/2013,2013,7,07:28
18/07/2013,2013,7,08:15
20/07/2013,2013,7,19:38
20/07/2013,2013,7,21:00
20/07/2013,2013,7,06:15
18/07/2013,2013,7,16:50
18/07/2013,2013,7,13:45
19/07/2013,2013,7,14:25
18/07/2013,2013,7,11:25
19/07/2013,2013,7,15:35
21/07/2013,2013,7,11:15
22/07/2013,2013,7,17:50
23/07/2013,2013,7,13:20
23/07/2013,2013,7,20:00
21/07/2013,2013,7,09:10
25/07/2013,2013,7,10:00
26/07/2013,2013,7,11:55
02/08/2013,2013,8,18:50
27/07/2013,2013,7,09:30
30/07/2013,2013,7,18:50
02/08/2013,2013,8,12:10
02/08/2013,2013,8,14:01
03/08/2013,2013,8,09:55
05/08/2013,2013,8,17:25
06/08/2013,2013,8,08:30
11/08/2013,2013,8,07:15
11/08/2013,2013,8,15:02
07/08/2013,2013,8,09:40
12/08/2013,2013,8,12:23
21/07/2013,2013,7,11:15
15/08/2013,2013,8,09:33
18/08/2013,2013,8,13:11
17/08/2013,2013,8,19:25
30/07/2013,2013,7,14:05
23/08/2013,2013,8,09:20
23/08/2013,2013,8,11:45
23/08/2013,2013,8,21:35
26/08/2013,2013,8,13:50
27/08/2013,2013,8,13:15
27/08/2013,2013,8,21:35
30/08/2013,2013,8,08:00
31/08/2013,2013,8,16:30
01/09/2013,2013,9,16:00
01/09/2013,2013,9,19:45
02/09/2013,2013,9,14:15
02/09/2013,2013,9,18:15
03/09/2013,2013,9,16:00
