ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
OFICINA OPERADORA DE TRANSPORTS,,"CTRA MOLINS DE REI, 51",PI. CA N'ALZAMORA,
APARCAMENT PRIVAT DE VEHICLES,,"C FONT DE LA VIA, 51",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C POESIA, 12",DA3,
FABRICACIÓ DE PECES METÀL·LIQUES,,"C STRAUSS, 18 NV 05",PI. CAN JARDI,
CAMP DE GOLF,,"PARC CAN SANT JOAN, SUELO",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C VIA LACTIA, 31",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C GUIPUSCOA, 2-22",DA5,
MANTENIMENT I REPARACIÓ DE VEHICLES DE MOTOR,,"C PAGESIA, 4",PI. LA BASTIDA,
ASSAIGS I ANÀLISIS TÈCNICS,,"C APEL.LES MESTRES, 9",DA6,
"RENTATGE, NETEJA I TENYIMENT DE PECES TÈXTILS I DE PELL",,"C PARIS, 1-7 NV 17",PI. COVA SOLERA,
DESPATX DE PEDAGOGIA I LOGOPÈDIA,,"C SANT MAGI, 20",DA4,
RECERCA I DESENVOLUPAMENT,,"AV CAN ROSES, 10 NV 13",PI. CAN ROSES,
OPERADOR DE TRANSPORTS,,"C PAGESIA, 1-33",PI. LA BASTIDA,
TALLER REPARACIÓ VEHICLES AMB PLANXA I PINTURA,,"C PROGRES, 5",PI. CA N'ALZAMORA,
DIPÒSIT I EMMAGATZEMATGE DE MERCADERIES PERILLOSES,,"AV GAUDI, 72",PI. CAN PI DE VILAROC,
RECOBRIMENTS GALVÀNICS,,"C HOQUEI, 23 NV 19",PI. CAN ROSES,
APARCAMENT,,"C ESPOZ I MINA, 7-9",DA4,
TALLER DE SERRALLERIA,,"C SCHUMANN, 1",PI. CAN JARDI,
APARCAMENT,,"PG PAU CLARIS, 59",DA4,
CREACIÓ ARTÍSTICA ARTESANA EN VIDRE,,"C MUSICA, 9 PB A",DA3,
OPERADOR DE TRANSPORT,,"PG PINS, 17",DA6,
"MAGATZEM DE PRODUCTES FARMACÈUTICS, COSMÈTICS I SANITARIS",,"AV CAN ROSES, 10",PI. CAN ROSES,
OBRADOR PER LA FABRICACIÓ ARTESANAL DE MELMELADES I AMETLLES GARRAPINYADES,,"C PILOTA BASCA, 17",PI. CAN ROSES,
OFICINA,,"C PAGESIA, 22-24 01",PI. LA BASTIDA,
FUSTERIA,,"C CA N'ALZAMORA, 3",PI. CA N'ALZAMORA,
SERVEIS DE NETEJA,,"CTRA SABADELL, 281 NV 15",PI. LA BASTIDA,
GIMNÀS,,"CTRA SANT CUGAT, 63",DA3,
MANTENIMENT I REPARACIÓ DE VEHICLES DE MOTOR,,"C DOCTOR FERRAN, 4",PI. CA N'ALZAMORA,
MAGATZEM DISTRIBUÏDOR DE LLAMINADURES,,"C TENNIS, 52",PI. CAN ROSES,
OFICINA TÈCNICA D'ENGINYERIA,,"C EDUARD FONTSERE, 2-12 LOC 06",DA6,
OFICINA DE TREBALLS DE PALETA,,"AV BARCELONA, 19-21",DA4,
ACTIVITATS SINDICALS,,"C CAL PRINCEP, 6",DA4,
FABRICACIÓ DE MOBLES DOMÈSTICS (EBANISTERIA),,"C PROGRES, 19",PI. CA N'ALZAMORA,
PERRUQUERIA,,"AV BARCELONA, 38",DA4,
AGÈNCIA DE VIATGES,,"C CAL GERRER, 2 Esc 1 PB 04",DA6,
TALLER DE REPARCIÓ D'AUTOMÒBILS,,"CTRA SABADELL, 247",PI. LA BASTIDA,
COMERÇ AL DETALL DE FRUITES I VERDURES,,"AV CASTELLBISBAL, 6",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C SARAGOSSA, 3",DA5,
XARCUTERIA AMB DEGUSTACIÓ,,"PG PAU CLARIS, 8",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT MAGI, 17-19",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SEVILLA, 42",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C JOSEP TURU,DA1,
CENTRE SANITARI PRIVAT,,C BASSES,DA5,
FABRICACIÓ DE MAQUINÀRIA PER EMBALATGE I MANIPULACIÓ,,"C PAGESIA, 44",PI. LA BASTIDA,
BUGADERIA INDUSTRIAL,,"CTRA SABADELL, 247 NV 52",PI. LA BASTIDA,
PAVELLÓ ESPORTIU,,"C MAGALLANES, 65",DA6,
APARCAMENT PRIVAT D'AUTOCARS,,"C COLLITA, 22",PI. LA BASTIDA,
TRACTAMENT I RECOBRIMENT DE METALLS,,"AV GAUDI, 126-130 NV 18",PI. CAN PI DE VILAROC,
APARCAMENT PRIVAT DE VEHICLES,,"C GIRONA, 14",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C PLATA, 9-11",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 179",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT SEBASTIA, 19-21",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C CAL PRINCEP, 27",DA4,
FUSTERIA METÀL·LICA,,"CTRA SABADELL, 247 NV 29",PI. LA BASTIDA,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"C PRAT DE LA RIBA, 41",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C LLUNA, 1",DA6,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"C SANT JORDI, 25",DA5,
GIMNÀS,,"PG RIERA, 166",DA5,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,C CAN POLIT,DA2,
TALLER DE CONSTRUCCIONS METÀL·LIQUES,,"C LISBOA, 1",PI. COVA SOLERA,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"URBAT PINAR, 1 01 A",DA5,
FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL,,"C PARIS, 1-7 NV 16",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,"C ESTELS, 2",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C MOLI, 8-10",DA4,
TRACTAMENT I RECOBRIMENT DE METALLS,,"C HOQUEI, 7 NV 27",PI. CAN ROSES,
VENDA I REPARACIÓ DE VEHICLES INDUSTRIALS,,"AV CAN SUCARRATS, 114 NV 14",PI. COVA SOLERA,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"C SEGRE, 27",DA6,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"AV CAN SUCARRATS, 99",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,"C VALENCIA, 52",DA5,
DIPÒSIT I ENVASAT DE GLP,,"C PUIG I CADAFALCH, 60",PI. CAN PI DE VILAROC,
APARCAMENT PRIVAT DE VEHICLES,,"C XILE, 4-6",DA4,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"AV CAN TAPIS, 119-121",DA2,
APARCAMENT PRIVAT DE VEHICLES,,PG TORRES,DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ABAT ESCARRE, 45-47",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SANT CUGAT, 13",DA6,
"FABRICACIÓ DE SABONS, DETERGENTS I ALTRES ARTICLES DE NETEJA I ABRILLANTAMENT",,"AV CAN SUCARRATS, 108-110",PI. COVA SOLERA,
VENDA DE RECANVIS I ACCESSORIS PER L'AUTOMÒBIL,,"C ATLETISME, 7 NV 05",PI. CAN ROSES,
APARCAMENT PRIVAT DE VEHICLES,,"C BARCELONA, 16",DA5,
OFICINA DE DISSENY INDUSTRIAL,,"C ANTON DE BORJA, 9 ES 01",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BADAJOZ, 18",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MONTURIOL, 15",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C MONTURIOL, 17",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 90",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BARCELONA, 26",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 70-72",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BARTRINA, 13",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C VIVER, 10",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C DIAMANT, 45",DA1,
ESPAI PRIVAT POLIVALENT,,"PG RIERA, 166",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C FONT DEL FERRO, 42-44",DA5,
DIPÒSIT DE GLP,,"C NURIA, 72",DA2,
APARCAMENT PRIVAT DE VEHICLES,,C ARIBAU,DA6,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"RONDA DE LA COMUNICACION, 03 EDIFICIO SUR 1",DA5,
DIPÒSIT CONTROLAT DE RESIDUS,,CTRA RUBI A ULLASTRELL,PI. SANT GENIS,
APARCAMENT PRIVAT DE VEHICLES,,"C CASTELL, 1 SUELO",DA2,
MAGATZEM DE ROBA I COMPLEMENTS,,"C BACH, 23",PI. CAN JARDI,
INDÚSTRIA TÈXTIL,,"C RAVEL, 10",PI. CAN JARDI,
CLÍNICA DENTAL,,"C SABADELL, 33-35 04 02",DA5,
TALLER DE REPARACIÓ MECÀNICA,,"CTRA MOLINS DE REI, 73",PI. CA N'ALZAMORA,
FABRICACIÓ I CONFECCIÓ DE PECES TÈXTILS,,"PG RIERA, 125",DA4,
RECICLATGE DE FERRALLA I REBUIG DE METALL,,"AV GAUDI, 76",PI. CAN PI DE VILAROC,
APARCAMENT PRIVAT DE VEHICLES,,"C MARE DE DEU DEL PILAR, 7",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"AV COMAS I SOLA, 5-7",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C VALENCIA, 15",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SEGOVIA, 33",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C LLOBATERAS, 93-95",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C ORSO, 27-31",DA4,
APARCAMENT PRIVAT DE VEHICLES,,C CADMO,DA4,
FABRICACIÓ DE PECES METÀL·LIQUES,,"CTRA SABADELL, 247 NV 55",PI. LA BASTIDA,
TALLER DE REPARACIÓ DE VEHICLES,,"C PROGRES, 11",PI. CA N'ALZAMORA,
APARCAMENT PRIVAT DE VEHICLES,,C BASSES,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BADAJOZ, 12-14",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C DIAMANT, 46-48 SUELO",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE SANTA FE, 4-8",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ORIO, 19-31",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C MARGARIDA XIRGU, 9",DA4,
MAGATZEM DE MATERIALS PER A LA CONSTRUCCIÓ,,"C HOQUEI, 10 NV 14",PI. CAN ROSES,
APARCAMENT PRIVAT DE VEHICLES,,"C MALLORCA, 13",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 57-63",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GALICIA, 3",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT MAGI, 9-11",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C VALLADOLID, 14",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C PASTORA (LA), 59",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C DURAN I BAS, 1-3 ST",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C GENERAL PRIM, 54",DA4,
MAGATZEM DE PRODUCTES COSMÈTICS,,"PTGE FERRAN SOR, 4",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C BADAJOZ, 3",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C JOAN MARAGALL, 12",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C VALLADOLID, 37",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BALMES, 18",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 76",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 58-60 PB",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 88",DA5,
IMPRESSIÓ DE BOSSES DE PLÀSTIC,,"C SCHUMANN, 43B",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C MARE DE DEU DE LOURDES, 29-31",DA5,
MAGATZEM D'ARTICLES TÈXTILS,,"C PARIS, 1-7 NV 37",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,C MALLORCA,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C PLANA DE CAN BERTRAN, 54-56",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PLANA DE CAN BERTRAN, 54-56",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PLANA DE CAN BERTRAN, 54-56",DA6,
APARCAMENT PRIVAT DE VEHICLES,,PARC CAN SANT JOAN,PI. CAN SANT JOAN,
DIPÒSIT DE RUNES,,URBAT CAN PI DE LA SERRA,DA2,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 90 ST 01",DA5,
MAGATZEM DE MOBLES,,"C EDUARD FONTSERE, 21 PB",DA6,
VENDA A L'ENGRÒS DE ROBA I COMPLEMENTS,,"C WAGNER, 16-18 PB A",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C PONTEVEDRA, 35-37 PB 01",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C PASTORA (LA), 95",DA5,
GRANJA D'ALTRES EXPLOTACIONS RAMADERES,,"URBAT CAN PI DE LA SERRA, 43",DA2,
DIPÒSIT DE GLP,,URBAT CAN PI DE LA SERRA,DA1,
TALLER DE TALL I POLIMENT DE PEDRA NATURAL,,"C BACH, 14-16",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C PLANA DE CAN BERTRAN, 54-56",DA6,
MAGATZEM D'ENVASOS,,"C VERDI, 62",PI. CAN JARDI,
EXPOSICIÓ I VENDA D'ARTICLES DE FERRETERIA,,"C EMILI SOLA, 11",PI. CAN PI DE VILAROC,
APARCAMENT PRIVAT DE VEHICLES,,"C NAVAS DE TOLOSA (LAS), 2",DA5,
COMPLEX ESPORTIU,,"C EDISON, 29 SUELO",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C PALENCIA, 32",DA5,
MAGATZEM DE PELLS,,"C SCHUMANN, 21-25 NV 04",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C JUAN RAMON JIMENEZ, 11-13",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C GENERAL PRIM, 40",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MADRID, 67-69",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 38",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MARE DE DEU DEL PILAR, 2-4",DA4,
PERRUQUERIA I CENTRE D'ESTÈTICA,,"C ARIBAU, 27",DA6,
GESTIÓ ADMINISTRATIVA-PATRIMONIAL,,"CTRA TERRASSA, 210",PI. CTRA. TERRASSA,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 49",DA5,
FABRICACIÓ DE CAIXES DE CARTRÓ,,"C MANUEL DE FALLA, 8",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ZAMORA, 50",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GUADALAJARA, 29-31",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C PONTEVEDRA, 14",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ARIBAU, 24",DA6,
TALLER DE REPARACIÓ DE VEHICLES,,"C COVADONGA, 20",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C LLUIS RIBAS, 17",DA6,
APARCAMENT PRIVAT DE VEHICLES,,PARC CAN SANT JOAN,PI. CAN SANT JOAN,
APARCAMENT PRIVAT DE VEHICLES,,PARC CAN SANT JOAN,PI. CAN SANT JOAN,
APARCAMENT PRIVAT DE VEHICLES,,"PG RIERA, 146",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C KEPLER, 1",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"AV FERRER I DOMINGO, 29-31",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C POESIA, 11",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C MARE DE DEU DE FATIMA, 45-47",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C TRES D'ABRIL, 3-5",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SANT CUGAT, 18",DA6,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GUIPUSCOA, 24",DA5,
VENDA AL DETALL D'ARTICLES DE DECORACIÓ I PARAMENT,,"C PERE ESMENDIA, 7",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C KEPLER, 36",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C ESCORIAL (EL), 26",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C EDISON, 41-43",DA3,
FUSTERIA,,"C MURCIA, 16",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PG PAU CLARIS, 38-40",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C GUIPUSCOA, 1",DA5,
VENDA AL DETALL DE PRODUCTES DE NETEJA,,"C JUAN RAMON JIMENEZ, 37",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C JAEN, 25",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 215",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MOLI, 2",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SEGRE, 7-9",DA6,
OFICINES D'INDÚSTRIA,,"CTRA MOLINS DE REI, 60",PI. LA BASTIDA,
VENDA AL DETALL D'ARTICLES DE MERCERIA,,"C SANT JORDI, 21",DA5,
DESPATX PROFESSIONAL,,"C AMPOSTA, 7-9",DA2,
CENTRE FISIOTERAPÈUTIC,,C MENDEZ NUÑEZ,DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 36",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C CREU, 1",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MALLORCA, 17-19",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C OSCA, 5",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MALLORCA, 31",DA5,
LOCUTORI TELEFÒNIC,,"C JUAN RAMON JIMENEZ, 26 Esc 1 PB 01",DA6,
DIPÒSIT DE RUNES,,CAMI MARTINES (LES),DA2,
APARCAMENT PRIVAT DE VEHICLES,,"C DIAMANT, 39",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C SORIA, 29-35",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BADAJOZ, 1",DA5,
MANIPULACIÓ DE PECES,,"C FRANCOLI, 8",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C RAFAEL CASANOVA, 20",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C CATI CURET, 1-15",DA1,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
APARCAMENT PRIVAT DE VEHICLES,,C PINTOR COELLO,DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C VICTOR BALAGUER, 16 PB 01",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PRAT DE LA RIBA, 14",DA4,
TALLER DE REPARACIÓ DE VEHICLES,,"C PROGRES, 13",PI. CA N'ALZAMORA,
APARCAMENT PRIVAT DE VEHICLES,,"C SORIA, 41",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CARRASCO I FORMIGUERA, 24",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C JOSEP TURU, 4-8",DA1,
MAGATZEM DE ROBA I COMPLEMENTS,,"C CAN POLIT, 13",PI. LA LLANA,
APARCAMENT PRIVAT DE VEHICLES,,"C BARTRINA, 43",DA6,
TALLER DE SERIGRAFIA,,"CTRA SABADELL, 247 NV 06",PI. LA BASTIDA,
APARCAMENT PRIVAT DE VEHICLES,,"C VALLADOLID, 40-42",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C NARCIS MENARD, 24",DA4,
SERVEIS FORESTALS,,"C SERVET, 16 PB 03",DA3,
VENDA AL DETALL DE LLENCERIA,,"C MARCONI, 6",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PAISOS CATALANS, 13-23",DA3,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
ELABORACIÓ DE MENJARS PREPARATS,,"C BARTRINA, 33",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C LUMIERE, 13",DA6,
MAGATZEM DE MAQUINÀRIA PER A LA CONSTRUCCIÓ,,AV CASTELLBISBAL,PI. SANT GENIS,www.technoflex.es
APARCAMENT PRIVAT DE VEHICLES,,"PG RIERA, 19-21",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C TARRAGONA, 38",DA5,
TALLER DE MANIPULACIÓ DE VIDRE,,"C HOQUEI, 21 NV 20",PI. CAN ROSES,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
DESPATX D'ARQUITECTURA,,"C PINTOR MURILLO, 43 01 02",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C PAISOS CATALANS, 19",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ANTONI SEDO, 60-68",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C FONT DEL FERRO, 8",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C DOCTOR GIMBERNAT, 12",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA MOLINS DE REI, 60",PI. LA BASTIDA,
FABRICACIÓ DE PECES METÀL·LIQUES,,"CTRA SABADELL, 247",PI. LA BASTIDA,
APARCAMENT PRIVAT DE VEHICLES,,"C PLANA DE CAN BERTRAN, 58-62",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"PG TORRES, 110",DA3,
ESTAMPACIÓ D'ACABATS TÈXTILS,,"C CAN POLIT, 13",PI. LA LLANA,
HÍPICA,,. CAN XERCAVINS,DA2,
APARCAMENT PRIVAT DE VEHICLES,,"C GENERAL CASTAÑOS, 17",DA4,
FABRICACIÓ DE PECES METÀL·LIQUES,,"C RAVEL, 21 NV 11",PI. CAN JARDI,
VENDA AL DETALL D'EQUIPS I MATERIAL DE LABORATORI,,"C ZAMORA, 34 LOC 01",DA5,
OFICINA DE DECORACIÓ INTERIOR I EXTERIOR,,"C PINTOR MURILLO, 43 02 02",DA4,
DESPATX D'ARQUITECTURA,,"C NUMANCIA, 45 LOC 08",DA5,
FABRICACIÓ DE PECES METÀL·LIQUES,,"PTGE WAGNER, 5",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C ORENSE, 3 PB",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ZAMORA, 46",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CREU, 20-26",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C CERVANTES, 44",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 207",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT FRANCESC, 17",DA4,
TRACTAMENT I RECOBRIMENT DE METALLS,,"AV CAN SUCARRATS, 108-110 NV 03",PI. COVA SOLERA,
MAGATZEM D'EQUIPS I COMPONENTS PEL TRACTAMENT DE FLUIDS,,"C DUBLIN, 7 NV 09",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,"C VALENCIA, 8",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C ESTELS,DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C BELCHITE, 19-21",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PG PAU CLARIS, 51",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C ESTELS, 21",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C ANTONI SEDO, 28-36",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"CAMI XIMELIS, 21",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C ART, 14",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ART, 14A",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C FRANCESC ROVIRA, 5",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C LLUIS RIBAS, 11",DA6,
FABRICACIÓ D'ACCESSORIS PER AUTOMÒBIL,,"C WAGNER, 8",PI. CAN JARDI,
MAGATZEM DE PRODUCTES HOSPITALARIS,,"C CONFLENT, 1",PI. CTRA. TERRASSA,
APARCAMENT PRIVAT DE VEHICLES,,"C EDISON, 65-67",DA6,
INDÚSTRIA TÈXTIL,,"PG RIERA, 143",PI. CTRA. TERRASSA,
INDÚSTRIA TÈXTIL,,"CTRA TERRASSA, 157",PI. CTRA. TERRASSA,
APARCAMENT PRIVAT DE VEHICLES,,"PG PAU CLARIS, 60-68",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C PINTOR FORTUNY, 29",DA6,
RESIDÈNCIA GERIÀTRICA,,CTRA RUBI A ULLASTRELL,PI. SANT GENIS,
FABRICACIÓ DE MOTLLES,,"AV GAUDI, 105 NV 02",PI. CAN PI DE VILAROC,
FABRICACIÓ DE PECES METÀL·LIQUES,,"C SCHUBERT, 9-15 LOC 01",PI. CAN JARDI,
INDÚSTRIA TÈXTIL,,"PTGE EGARA, 3",DA5,
INDÚSTRIA DE FOSA DE METALL,,"PTGE BACH, 6",PI. CAN JARDI,
CENTRE D'ENSENYAMENT,,"C MAGALLANES, 65",DA6,
MANIPULACIÓ DE PECES PLÀSTIQUES,,"C SCHUMANN, 24",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C XALOC, 4",DA5,
GESTIÓ DE RESIDUS DE PLÀSTIC,,"C WAGNER, 12-16",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C PLATI, 15 ST 02",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C BARTRINA, 26-28",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C BARCELONA, 33-35",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ORENSE, 2",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ANTONI SEDO, 100",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C DOCTOR GIMBERNAT, 13",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C ALACANT, 25",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 42",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C TARRAGONA, 14-16",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ART, 7",DA3,
DIPÒSIT DE GLP,,"AV CAN SUCARRATS, 102",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,"C COLLITA, 2-6",PI. LA BASTIDA,
APARCAMENT PRIVAT DE VEHICLES,,C ANTIC CAMI DE XIMELIS,DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C DANT, 24",DA6,
MAGATZEM DE PALETS DE FUSTA,,"C RAVEL, 1",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,C APEL.LES MESTRES,DA6,
CENTRE DE FORMACIÓ,,"PG BULLIDOR, 5",DA5,
