CARRER_CODI,CARRER_TIPUS,CARRER_NOM
867,C,ORIO
868,C,ANDROMEDA
869,C,ASTROLABI
87,C,PINTOR MURILLO
139,C,XERCAVINS
14,C,MAXIMI FORNES
140,.,MERCAT MUNICIPAL
146,URBAT,PINAR
148,GRUP,VINT-I-CINC DE SETEMBRE
15,PARC,CAN FATJO
150,C,GOYA
151,C,LLOBREGAT
152,C,CLAVELL
154,C,DALIA
159,C,NARD
161,C,ORQUIDIA
162,C,VIOLETA
163,C,PASTORA (LA)
164,C,ROSER
165,C,SAGUNT
166,C,ARANJUEZ
167,C,MADRID
17,C,CASETES DE CAN FATJO
170,C,ENRIC MORERA
174,C,ENRIC GRANADOS
175,C,MARE DE DEU DE LOURDES
179,C,CERDANYA
18,C,GENERAL CASTAÑOS
180,C,JUNCEDA
181,C,MURCIA
182,C,ALACANT
183,C,LLAC
974,PAS,VI
975,PAS,ENTRADA
976,PAS,ALZINES
977,PAS,MIRANDA
978,PAS,ORDI
979,PAS,CAVA
98,C,SANT CUGAT
980,PAS,POMPEU FABRA
981,PAS,MILL
982,PAS,SANT ESTEVE
983,PAS,SEGADORS
984,PAS,SEMBRAT
985,PL,MIQUEL MARTI I POL
986,POLIG,SECTOR E
987,C,LOLA ANGLADA
988,C,PUIG I CADAFALCH
989,PTGE,PUIG I CADAFALCH
99,CTRA,SANT CUGAT
990,C,CADERNERA
991,C,COLIBRI
992,C,MERCE RODOREDA
993,C,LEONARDO DA VINCI
994,C,SOCRATES
995,PTGE,MARCONI
996,PL,FREDERICA MONTSENY
997,PL,PERE ESMENDIA
998,PL,SALVADOR ESPRIU
999,PARC,CA N'ALZAMORA
