URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;ESPEDIENTE MOTA;DESKRIBAPENA;ITXITAKO ESPEDIENTE KOPURUA;ITXI GABEKO ESPEDIENTE KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;3603;MAURICE RAVEL KALEA;OMEN;Obra Txikiak;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;3604;SAN MARKO KALEA;BAEX;Salbuespen Jardueraren Baja;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;3604;SAN MARKO KALEA;BVAN;Ibilgailu historikoa dela eta TMIZ zergan hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;3604;SAN MARKO KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;3604;SAN MARKO KALEA;OMEN;Obra Txikiak;0;10;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;3701;ALDAKONEA KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;3701;ALDAKONEA KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;3702;ISIDRO ANTSORENA KALEA;OMEN;Obra Txikiak;0;7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;3703;JOSE MARIA USANDITZAGA KALEA;EXEN;Salbuetsitako Jarduera;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;3703;JOSE MARIA USANDITZAGA KALEA;OMEN;Obra Txikiak;1;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;3801;SORGINTZULO KALEA;EXEN;Salbuetsitako Jarduera;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;3801;SORGINTZULO KALEA;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;3801;SORGINTZULO KALEA;HIGO;IGOGAILUAK;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;3801;SORGINTZULO KALEA;OMEN;Obra Txikiak;0;12;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;3801;SORGINTZULO KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;3801;SORGINTZULO KALEA;OVIA;Lurzoru Publikoaren Okupazioa;6;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;3801;SORGINTZULO KALEA;VELA;Beilariak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;3901;BASANOAGA KALEA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;3901;BASANOAGA KALEA;OKAL;Kalteak Udal Lokalean;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;3901;BASANOAGA KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;3901;BASANOAGA KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;3903;VERSALLES KALEA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;3904;ESNABIDE KALEA;BIFN;Familia ugaria dela eta OHZ hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;3904;ESNABIDE KALEA;OKAL;Kalteak Udal Lokalean;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;4300;SAN MARTIN;DBIE;Bilketa Prozedurei Buruzko Errekurtsoa;3;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;5090;ZARATEGI,PS DE;OLOK;LOKALEN UZTEA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;6001;GERNIKA PLAZA;OMEN;Obra Txikiak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;6003;ZABALETA ANAIEN KALEA/C.HNOS.Z;OMEN;Obra Txikiak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6004;AIAKO HARRIA KALEA;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;6004;AIAKO HARRIA KALEA;OMEN;Obra Txikiak;0;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;6004;AIAKO HARRIA KALEA;ZZKO;Herri jabaria hartzea kirol probak egiteko;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;6004;AIAKO HARRIA KALEA;ZZZ1;proba;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;6005;GELTOKIKO KALEA / CALLE APEADE;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;6005;GELTOKIKO KALEA / CALLE APEADE;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6005;GELTOKIKO KALEA / CALLE APEADE;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6005;GELTOKIKO KALEA / CALLE APEADE;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;6006;SAN MARKO GUNEA;HIGO;IGOGAILUAK;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;6006;SAN MARKO GUNEA;LOMA;Obra Handietarako Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6006;SAN MARKO GUNEA;LPAR;Partzelazio Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;6006;SAN MARKO GUNEA;OMEN;Obra Txikiak;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;6006;SAN MARKO GUNEA;OVIA;Lurzoru Publikoaren Okupazioa;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;6007;ZENTOLEN GUNEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;6007;ZENTOLEN GUNEA;OSLI;Lizentzia gabeko Obra;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;6007;ZENTOLEN GUNEA;PESP;Plan Berezia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6008;ZAMALBIDE GUNEA;OMEN;Obra Txikiak;1;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;6009;ALDURA GUNEA;BVAN;Ibilgailu historikoa dela eta TMIZ zergan hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;6009;ALDURA GUNEA;OMEN;Obra Txikiak;3;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6009;ALDURA GUNEA;OVIA;Lurzoru Publikoaren Okupazioa;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;6010;URBASA KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6012;IKUTZA KORTSARIOA KALEA;BVAN;Ibilgailu historikoa dela eta TMIZ zergan hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6012;IKUTZA KORTSARIOA KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;6013;MUSIKA PLAZA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6017;TOURING ETORBIDEA/AVENIDA TOUR;HIGO;IGOGAILUAK;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6017;TOURING ETORBIDEA/AVENIDA TOUR;OVIA;Lurzoru Publikoaren Okupazioa;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;6018;DOLORES IBARRURI ZUMARDIA/ALAM;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6018;DOLORES IBARRURI ZUMARDIA/ALAM;VELA;Beilariak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;6019;DARIO REGOYOS KALEA;OMEN;Obra Txikiak;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;6022;AGIRRE LEHENDAKARIAREN PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;6024;JAUTARKOL PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;6025;XABIER OLASKOAGA PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;3;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;6028;PELOTARI KALEA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6030;JOSE MIGUEL BARANDIARAN KALEA;OVIA;Lurzoru Publikoaren Okupazioa;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6032;TULLE KALEA;OLOK;LOKALEN UZTEA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6032;TULLE KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;6033;LOUSADA KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;6033;LOUSADA KALEA;OVIA;Lurzoru Publikoaren Okupazioa;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6035;ARRAMENDI PASEALEKUA/PASEO ARR;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;6035;ARRAMENDI PASEALEKUA/PASEO ARR;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6036;TELLERIALDE PLAZA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;6038;PABLO SOROZABAL PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;6041;EGIBURUBERRI PASEALEKUA/PASEO;ACGV;Eusko Jaurlaritzako Sailkatutatako Jarduera;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;6041;EGIBURUBERRI PASEALEKUA/PASEO;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;6043;ERRAMUN ASTIBIA KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;6049;ARDITURRI PLAZA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;6051;JOSE MIGUEL BARANDIARAN PARKEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;6051;JOSE MIGUEL BARANDIARAN PARKEA;OVIA;Lurzoru Publikoaren Okupazioa;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;6054;ALTXU KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
